PRODUCT_ID,PRODUCT_NAME,CATEGORY,BRAND,total_revenue,units_sold,order_count
P001078,Astra Likely,Automotive,Astra,28187.91,41,29
P001499,Orion Follow,Automotive,Orion,28135.61,47,33
P001821,Orion Off,Electronics,Orion,28119.96,33,23
P000297,Everest Deep,Automotive,Everest,27976.88,31,19
P001613,Zenith Lawyer,Automotive,Zenith,27901.88,38,32
P001707,Willow Their,Electronics,Willow,27681.36,28,19
P001852,Everest All,Automotive,Everest,27655.02,43,33
P001208,Pulse All,Automotive,Pulse,27640.94,46,33
P001914,Astra Thing,Electronics,Astra,27512.010000000002,29,23
P001220,Willow Rich,Electronics,Willow,27212.64,39,26
P001731,GreenLeaf Glass,Electronics,GreenLeaf,27152.4,34,22
P001830,Acme Chance,Electronics,Acme,27059.280000000002,24,18
P001793,Acme Marriage,Electronics,Acme,26891.399999999998,30,21
P001117,Astra Water,Automotive,Astra,26844.0,30,22
P001739,Everest Movie,Electronics,Everest,26584.920000000002,36,24
P001812,Zenith Partner,Automotive,Zenith,26408.379999999997,37,24
P001050,Acme If,Electronics,Acme,26315.08,44,26
P001013,Willow Spring,Automotive,Willow,26179.5,25,19
P000308,Harbor Score,Electronics,Harbor,26053.16,28,18
P000298,Zenith Deal,Electronics,Zenith,26017.530000000002,21,15
P000961,Solace Close,Automotive,Solace,25842.65,37,25
P000973,Everest Push,Electronics,Everest,25660.0,16,13
P000208,Solace Move,Automotive,Solace,25611.579999999998,31,27
P001485,Pulse Lose,Electronics,Pulse,25518.3,30,21
P001497,Harbor Power,Electronics,Harbor,25503.12,27,19
P001691,Everest Stop,Automotive,Everest,25024.16,28,19
P000745,Nimbus Today,Electronics,Nimbus,24962.600000000002,20,15
P001560,Everest Bar,Electronics,Everest,24795.120000000003,24,19
P001341,Harbor Visit,Automotive,Harbor,24483.36,33,22
P001617,Astra Plant,Automotive,Astra,24454.04,31,25
P001439,Pulse Would,Electronics,Pulse,24431.8,20,14
P001742,GreenLeaf End,Electronics,GreenLeaf,24429.0,30,22
P000509,NeoTech Throw,Electronics,NeoTech,24228.899999999998,45,33
P000264,Acme Account,Electronics,Acme,24155.28,24,20
P001629,NeoTech Hope,Electronics,NeoTech,24086.920000000002,26,17
P001353,Orion Wrong,Automotive,Orion,23991.68,38,29
P000274,Acme Break,Electronics,Acme,23948.800000000003,20,16
P000256,Orion Treat,Automotive,Orion,23937.12,36,26
P001206,GreenLeaf Or,Automotive,GreenLeaf,23918.85,45,27
P001020,Acme Miss,Electronics,Acme,23857.34,26,21
P000950,GreenLeaf Current,Automotive,GreenLeaf,23571.36,36,27
P001048,Astra Beyond,Electronics,Astra,23541.84,27,14
P001176,Orion Increase,Electronics,Orion,23198.24,38,25
P001794,Willow Treatment,Automotive,Willow,23078.800000000003,40,32
P001132,Willow Even,Automotive,Willow,22923.12,33,24
P001724,NeoTech Mind,Electronics,NeoTech,22858.47,27,20
P000055,Astra Our,Electronics,Astra,22793.52,24,19
P000632,Solace Show,Automotive,Solace,22726.86,26,18
P000384,Nimbus Take,Automotive,Nimbus,22669.28,38,28
P001847,GreenLeaf Goal,Electronics,GreenLeaf,22556.82,22,15
P000769,Orion Above,Electronics,Orion,22490.079999999998,29,19
P000467,Orion Debate,Electronics,Orion,22077.890000000003,31,22
P001770,Willow Film,Electronics,Willow,21910.5,27,22
P001475,Nimbus Place,Electronics,Nimbus,21502.8,33,26
P000653,Orion Coach,Electronics,Orion,21426.239999999998,33,24
P001706,Willow Measure,Electronics,Willow,21342.2,22,18
P000294,Zenith Recently,Automotive,Zenith,21189.09,39,26
P001346,Everest Also,Electronics,Everest,21183.0,23,16
P001513,Zenith Firm,Electronics,Zenith,20881.449999999997,29,20
P000945,Astra Later,Automotive,Astra,20610.3,30,22
P001969,Pulse Worry,Automotive,Pulse,20578.88,28,20
P001521,Acme Likely,Automotive,Acme,20464.75,25,18
P001840,Orion Capital,Electronics,Orion,20426.04,36,23
P000814,Solace Song,Electronics,Solace,20404.5,30,21
P000323,Orion Speech,Electronics,Orion,20135.280000000002,29,21
P000730,Everest Miss,Automotive,Everest,19969.95,35,23
P000622,GreenLeaf Call,Electronics,GreenLeaf,19907.65,23,15
P000854,GreenLeaf Plan,Automotive,GreenLeaf,19882.11,29,24
P001587,Zenith Rich,Electronics,Zenith,19750.5,30,22
P001674,Orion Ahead,Electronics,Orion,19660.0,25,22
P000161,NeoTech Weight,Electronics,NeoTech,19638.08,28,21
P001373,Solace Make,Electronics,Solace,19560.24,24,19
P000225,GreenLeaf Newspaper,Electronics,GreenLeaf,19531.19,37,24
P001146,Harbor Return,Electronics,Harbor,19517.960000000003,28,21
P000908,GreenLeaf A,Electronics,GreenLeaf,19435.92,42,29
P001422,Solace News,Automotive,Solace,19160.88,29,23
P000741,Nimbus For,Electronics,Nimbus,19020.420000000002,27,16
P000025,Zenith About,Automotive,Zenith,18955.2,30,21
P001699,Nimbus Hit,Electronics,Nimbus,18803.92,38,27
P001886,Acme Best,Electronics,Acme,18550.84,14,12
P001701,Willow Executive,Electronics,Willow,18479.52,36,26
P001385,Willow We,Automotive,Willow,18474.82,26,21
P001508,Pulse Ok,Electronics,Pulse,18300.420000000002,18,13
P001822,Orion Race,Automotive,Orion,18221.760000000002,37,27
P000058,Astra Power,Electronics,Astra,18128.83,23,15
P001855,Acme Practice,Automotive,Acme,18123.48,36,24
P000735,Nimbus City,Automotive,Nimbus,17918.88,28,21
P001500,Nimbus Agree,Automotive,Nimbus,17916.24,24,18
P001419,GreenLeaf Process,Automotive,GreenLeaf,17832.239999999998,18,15
P000026,Pulse Such,Automotive,Pulse,17819.28,24,18
P001678,Orion Attack,Automotive,Orion,17583.72,28,22
P001982,Harbor Better,Electronics,Harbor,17548.86,21,18
P001700,Harbor One,Automotive,Harbor,17446.11,29,22
P000874,Acme American,Electronics,Acme,17415.12,24,16
P000180,Orion Upon,Home & Kitchen,Orion,17208.6,43,26
P001106,Pulse Result,Electronics,Pulse,17149.28,16,11
P001874,Willow Show,Electronics,Willow,16950.08,28,25
P001637,Harbor Tax,Automotive,Harbor,16929.92,32,24
P001000,Solace Never,Electronics,Solace,16859.46,38,26
P000070,Solace Other,Electronics,Solace,16851.45,21,17
P001684,Acme Anyone,Automotive,Acme,16766.31,23,17
P001762,Harbor Vote,Electronics,Harbor,16672.6,35,25
P001979,NeoTech Our,Electronics,NeoTech,16555.5,25,20
P001936,Nimbus Safe,Automotive,Nimbus,16536.8,40,28
P001752,GreenLeaf Tell,Home & Kitchen,GreenLeaf,16512.0,40,26
P001990,Zenith Page,Home & Kitchen,Zenith,16382.56,38,26
P000137,Willow Such,Automotive,Willow,16330.689999999999,37,24
P001016,Solace Glass,Electronics,Solace,16285.8,30,19
P001605,Harbor Picture,Electronics,Harbor,16257.119999999999,33,22
P001960,Orion Owner,Electronics,Orion,16236.439999999999,22,15
P000035,Everest Choose,Electronics,Everest,16223.019999999999,37,30
P000664,Harbor Size,Automotive,Harbor,16210.08,24,13
P001071,Willow Protect,Electronics,Willow,16194.99,23,17
P001790,Zenith Result,Sports,Zenith,16123.199999999999,40,25
P000527,Astra Democrat,Electronics,Astra,16092.97,29,23
P000659,Harbor Strong,Automotive,Harbor,16043.84,32,22
P000702,GreenLeaf Condition,Electronics,GreenLeaf,16022.16,24,18
P001240,Nimbus Many,Home & Kitchen,Nimbus,16010.26,34,22
P000578,Nimbus Development,Home & Kitchen,Nimbus,15997.789999999999,41,25
P000660,Orion Red,Automotive,Orion,15962.75,25,17
P000628,Astra Small,Electronics,Astra,15917.98,26,19
P000885,Nimbus Whose,Automotive,Nimbus,15774.2,26,21
P000020,Nimbus Yard,Automotive,Nimbus,15769.92,32,20
P001320,Pulse Five,Electronics,Pulse,15733.710000000001,19,12
P001003,Willow Peace,Automotive,Willow,15569.85,23,16
P000887,Acme Democratic,Automotive,Acme,15424.49,23,17
P000376,Zenith Color,Automotive,Zenith,15394.679999999998,28,21
P000272,Nimbus Process,Electronics,Nimbus,15392.7,27,20
P000840,Harbor Probably,Automotive,Harbor,15367.240000000002,28,20
P001870,Acme Subject,Automotive,Acme,15330.4,40,27
P000114,Zenith Create,Electronics,Zenith,15297.85,19,16
P001541,Solace Tv,Automotive,Solace,15267.839999999998,24,21
P000181,Willow Box,Automotive,Willow,15266.800000000001,20,17
P000054,GreenLeaf Hair,Automotive,GreenLeaf,15255.449999999999,35,23
P000993,NeoTech Laugh,Electronics,NeoTech,15247.44,27,20
P001051,Nimbus Tonight,Electronics,Nimbus,15108.16,32,18
P000392,Nimbus Subject,Home & Kitchen,Nimbus,15101.970000000001,39,22
P001397,Zenith Town,Electronics,Zenith,14895.27,29,22
P000078,Willow Determine,Automotive,Willow,14803.18,43,31
P000152,Zenith Soon,Sports,Zenith,14683.34,49,34
P000134,Orion Such,Automotive,Orion,14377.039999999999,29,21
P001451,Solace Know,Automotive,Solace,14358.48,24,19
P000855,Acme Room,Sports,Acme,14306.759999999998,39,31
P001732,Pulse Baby,Electronics,Pulse,14183.1,34,20
P001814,Nimbus Prevent,Automotive,Nimbus,14163.25,25,20
P001452,Harbor Significant,Home & Kitchen,Harbor,14162.96,28,23
P000859,Pulse Decide,Electronics,Pulse,13933.26,33,23
P000679,Orion Clearly,Automotive,Orion,13909.84,28,20
P000386,Pulse Born,Automotive,Pulse,13862.800000000001,28,22
P001168,Solace Cell,Home & Kitchen,Solace,13735.92,33,19
P001628,Zenith Necessary,Electronics,Zenith,13734.98,29,21
P000502,Orion Student,Sports,Orion,13705.72,31,20
P000682,Nimbus Stage,Automotive,Nimbus,13547.999999999998,25,17
P001277,NeoTech Toward,Sports,NeoTech,13524.16,32,21
P000382,Astra Understand,Automotive,Astra,13521.25,29,22
P001789,Willow Wall,Automotive,Willow,13517.130000000001,33,22
P000540,Zenith Foreign,Automotive,Zenith,13512.0,40,31
P001403,Willow At,Sports,Willow,13392.21,39,24
P001005,Acme Majority,Home & Kitchen,Acme,13378.53,33,24
P000267,Nimbus Lawyer,Automotive,Nimbus,13238.06,19,15
P000235,Everest Minute,Home & Kitchen,Everest,13190.73,21,16
P000387,Acme Store,Automotive,Acme,13071.6,30,21
P000718,Solace Through,Automotive,Solace,13069.599999999999,34,22
P001343,GreenLeaf Just,Home & Kitchen,GreenLeaf,13040.4,40,28
P001133,GreenLeaf High,Electronics,GreenLeaf,13025.0,25,17
P000216,Pulse Serious,Sports,Pulse,12982.2,44,28
P001895,GreenLeaf Into,Electronics,GreenLeaf,12982.179999999998,31,21
P000085,Astra Make,Automotive,Astra,12953.36,28,20
P000415,Pulse Next,Electronics,Pulse,12924.3,15,12
P000389,Willow Charge,Automotive,Willow,12898.480000000001,28,25
P001339,Orion Break,Automotive,Orion,12856.560000000001,24,18
P000592,Astra Receive,Electronics,Astra,12826.0,40,25
P000349,Zenith Need,Electronics,Zenith,12803.94,27,22
P001434,Harbor Together,Automotive,Harbor,12726.960000000001,19,14
P000355,Orion Whatever,Electronics,Orion,12714.46,22,20
P000004,Nimbus South,Electronics,Nimbus,12452.429999999998,23,17
P000880,Harbor Gas,Sports,Harbor,12438.130000000001,31,19
P001542,Willow Message,Electronics,Willow,12429.9,35,23
P001801,Harbor Wrong,Sports,Harbor,12418.16,34,27
P000424,Everest Find,Home & Kitchen,Everest,12306.279999999999,28,19
P000192,Pulse Near,Electronics,Pulse,12296.61,27,24
P000400,Orion Thus,Electronics,Orion,12286.43,29,21
P001807,Nimbus Maintain,Electronics,Nimbus,12262.58,22,18
P001598,NeoTech Administration,Automotive,NeoTech,12239.400000000001,30,17
P001234,Nimbus Morning,Sports,Nimbus,12214.75,25,20
P000131,NeoTech Everybody,Automotive,NeoTech,12178.18,37,25
P000767,Everest Family,Automotive,Everest,12124.16,37,33
P000806,Willow Religious,Electronics,Willow,12104.5,25,16
P000694,Orion Even,Home & Kitchen,Orion,12092.740000000002,38,26
P001917,Everest Possible,Electronics,Everest,12083.52,24,20
P001304,Solace Miss,Automotive,Solace,12029.12,32,24
P001484,Astra Key,Electronics,Astra,11891.25,25,21
P000603,Zenith Example,Sports,Zenith,11889.57,33,24
P000940,Willow Blood,Automotive,Willow,11844.36,18,13
P000061,Astra Fly,Automotive,Astra,11835.84,32,25
P001205,Orion Player,Home & Kitchen,Orion,11817.9,30,18
P001260,Willow Add,Automotive,Willow,11797.1,35,26
P001848,Astra Attorney,Automotive,Astra,11779.5,30,19
P001390,Willow Position,Automotive,Willow,11753.199999999999,40,25
P001968,Nimbus Before,Home & Kitchen,Nimbus,11646.08,31,21
P000149,Nimbus Where,Automotive,Nimbus,11633.039999999999,36,26
P001421,Astra Mean,Electronics,Astra,11515.26,31,21
P000690,NeoTech Interesting,Home & Kitchen,NeoTech,11433.42,31,23
P001467,Everest Great,Sports,Everest,11318.34,33,23
P000141,Harbor Since,Automotive,Harbor,11307.38,34,26
P001083,Astra College,Home & Kitchen,Astra,11292.99,31,24
P001259,Solace How,Electronics,Solace,11281.04,23,20
P000834,Zenith Need,Electronics,Zenith,11035.4,23,18
P001197,Harbor Allow,Electronics,Harbor,11024.8,16,14
P000965,Acme Off,Electronics,Acme,10946.08,37,26
P000373,Everest Difference,Automotive,Everest,10935.68,28,20
P000565,Everest High,Home & Kitchen,Everest,10896.0,32,24
P001307,Zenith Choice,Home & Kitchen,Zenith,10843.099999999999,29,21
P000937,Acme Computer,Electronics,Acme,10835.1,27,18
P001251,NeoTech Truth,Home & Kitchen,NeoTech,10834.0,40,29
P000790,Acme Whether,Automotive,Acme,10773.6,30,22
P000758,NeoTech Guess,Automotive,NeoTech,10651.5,45,31
P001100,Nimbus Investment,Sports,Nimbus,10651.41,33,22
P000307,GreenLeaf Note,Home & Kitchen,GreenLeaf,10634.7,30,20
P000507,Willow Beyond,Home & Kitchen,Willow,10625.34,51,31
P001479,Pulse Pm,Electronics,Pulse,10616.84,17,15
P001685,Nimbus Return,Electronics,Nimbus,10531.949999999999,33,23
P001141,Zenith Begin,Electronics,Zenith,10530.48,29,20
P001367,Orion Theory,Sports,Orion,10488.390000000001,37,27
P001767,Harbor Laugh,Beauty,Harbor,10444.34,41,31
P001116,Harbor Movie,Home & Kitchen,Harbor,10370.0,34,25
P000815,Willow Leader,Home & Kitchen,Willow,10217.75,25,22
P000881,GreenLeaf It,Home & Kitchen,GreenLeaf,10143.92,23,14
P000716,Acme Factor,Electronics,Acme,10134.67,37,23
P001649,Harbor Goal,Sports,Harbor,10123.4,28,22
P000144,GreenLeaf Interview,Automotive,GreenLeaf,10099.35,45,30
P000619,GreenLeaf Idea,Electronics,GreenLeaf,10047.24,36,27
P001795,Orion Focus,Home & Kitchen,Orion,10042.5,26,18
P001896,Everest Response,Automotive,Everest,10034.64,36,25
P000029,Solace Player,Automotive,Solace,10020.36,28,20
P000799,Willow Prove,Automotive,Willow,9997.41,23,17
P001079,Orion Page,Home & Kitchen,Orion,9962.8,40,27
P000936,Acme Clear,Home & Kitchen,Acme,9952.74,42,29
P000546,Willow Society,Home & Kitchen,Willow,9934.46,34,23
P000401,Astra Discuss,Automotive,Astra,9922.56,34,26
P000210,Nimbus Little,Toys,Nimbus,9903.66,39,29
P001096,Acme Idea,Sports,Acme,9869.36,38,27
P001853,Orion After,Electronics,Orion,9840.6,28,24
P000388,GreenLeaf Discover,Clothing,GreenLeaf,9831.51,39,23
P000575,Pulse Or,Automotive,Pulse,9802.0,29,20
P000955,Solace So,Sports,Solace,9754.55,43,30
P001646,Orion Class,Sports,Orion,9753.84,31,20
P000305,Everest Scientist,Home & Kitchen,Everest,9745.23,33,22
P000711,Solace Really,Electronics,Solace,9653.94,18,15
P000650,Everest Parent,Sports,Everest,9653.86,41,33
P001149,Nimbus Military,Automotive,Nimbus,9649.77,39,25
P000762,Everest Response,Clothing,Everest,9643.92,52,37
P001196,Orion Near,Home & Kitchen,Orion,9637.980000000001,34,24
P000034,Everest Figure,Automotive,Everest,9620.74,37,23
P001438,Zenith Word,Home & Kitchen,Zenith,9608.25,23,20
P001645,Nimbus Much,Sports,Nimbus,9601.04,43,29
P001868,Nimbus Foot,Sports,Nimbus,9593.6,32,22
P001449,Pulse Weight,Automotive,Pulse,9565.83,27,17
P001427,Acme Rich,Sports,Acme,9534.400000000001,40,24
P000581,Nimbus You,Sports,Nimbus,9533.74,31,23
P000087,Pulse Fine,Home & Kitchen,Pulse,9504.04,28,19
P001495,Acme Soldier,Clothing,Acme,9460.44,36,24
P001975,Orion Mouth,Sports,Orion,9456.76,34,25
P001639,Everest Single,Clothing,Everest,9383.2,37,29
P000299,Zenith Partner,Automotive,Zenith,9326.4,32,22
P000126,Willow Arm,Sports,Willow,9318.539999999999,22,19
P001956,Nimbus Table,Sports,Nimbus,9302.17,31,22
P000672,Pulse Yeah,Automotive,Pulse,9266.0,25,17
P000667,Harbor Than,Home & Kitchen,Harbor,9264.630000000001,29,18
P001922,Acme Type,Automotive,Acme,9262.560000000001,46,31
P001139,Willow Past,Home & Kitchen,Willow,9241.400000000001,35,28
P000491,Willow Answer,Electronics,Willow,9173.78,23,17
P000976,Solace Billion,Automotive,Solace,9172.86,23,16
P001973,Pulse Design,Electronics,Pulse,9169.16,22,14
P000218,Harbor Last,Electronics,Harbor,9164.61,39,28
P000749,GreenLeaf Authority,Electronics,GreenLeaf,9146.880000000001,36,24
P000701,Astra My,Home & Kitchen,Astra,9074.26,26,20
P000123,Solace Everyone,Clothing,Solace,9044.28,37,24
P001854,Astra Key,Sports,Astra,9031.44,24,18
P000003,Acme Discuss,Sports,Acme,9022.58,34,24
P001977,Solace Leave,Home & Kitchen,Solace,9014.76,36,25
P000145,Willow Him,Home & Kitchen,Willow,9007.29,41,26
P000024,Harbor Who,Automotive,Harbor,9002.18,17,12
P000488,Solace Level,Home & Kitchen,Solace,8998.78,34,26
P001759,NeoTech Story,Sports,NeoTech,8965.880000000001,22,17
P001838,Everest Several,Home & Kitchen,Everest,8963.460000000001,27,18
P001412,Everest Exactly,Home & Kitchen,Everest,8921.92,28,17
P001517,GreenLeaf Present,Clothing,GreenLeaf,8880.6,38,26
P000009,Harbor Go,Home & Kitchen,Harbor,8861.3,35,24
P001755,GreenLeaf Star,Automotive,GreenLeaf,8857.18,29,18
P000227,Solace Risk,Home & Kitchen,Solace,8828.57,37,26
P001128,Willow Responsibility,Electronics,Willow,8800.74,26,19
P000454,Solace Different,Home & Kitchen,Solace,8796.62,38,23
P001002,Harbor Night,Clothing,Harbor,8782.199999999999,42,31
P001008,GreenLeaf Meet,Home & Kitchen,GreenLeaf,8767.0,20,15
P000040,Acme Night,Home & Kitchen,Acme,8760.25,25,18
P001030,Acme Figure,Home & Kitchen,Acme,8705.4,33,23
P000010,Orion Ahead,Sports,Orion,8699.07,37,23
P000725,Astra Into,Electronics,Astra,8666.07,21,16
P001904,Everest Become,Clothing,Everest,8620.0,40,25
P001336,Solace Section,Home & Kitchen,Solace,8609.699999999999,33,22
P001060,Zenith Structure,Home & Kitchen,Zenith,8603.56,28,24
P001167,Everest Stock,Sports,Everest,8546.880000000001,29,21
P000032,Orion Itself,Clothing,Orion,8511.68,32,24
P000474,GreenLeaf Significant,Sports,GreenLeaf,8495.1,30,22
P000422,Everest Fire,Clothing,Everest,8485.949999999999,33,27
P001652,Nimbus Word,Sports,Nimbus,8482.050000000001,45,29
P001172,NeoTech Attack,Home & Kitchen,NeoTech,8434.62,47,28
P000613,Pulse Physical,Automotive,Pulse,8406.720000000001,28,20
P001395,Everest Dog,Home & Kitchen,Everest,8369.380000000001,31,21
P001689,Willow Condition,Sports,Willow,8330.0,28,20
P001061,Pulse Eight,Automotive,Pulse,8322.44,28,19
P001069,Nimbus Cost,Electronics,Nimbus,8276.07,33,24
P000165,Solace Difference,Electronics,Solace,8267.56,28,19
P001873,Acme When,Automotive,Acme,8262.2,20,16
P001690,Solace Professional,Sports,Solace,8255.68,32,21
P000601,Acme Manage,Sports,Acme,8250.72,24,20
P001721,Everest Investment,Home & Kitchen,Everest,8238.72,24,17
P001912,NeoTech Imagine,Beauty,NeoTech,8232.96,32,18
P000366,NeoTech Fill,Home & Kitchen,NeoTech,8232.42,34,23
P001634,Pulse Outside,Electronics,Pulse,8199.4,22,19
P001974,Astra Animal,Automotive,Astra,8196.56,29,21
P000544,Orion Now,Clothing,Orion,8185.650000000001,33,25
P000158,Zenith Accept,Sports,Zenith,8179.08,26,18
P000028,Astra Road,Automotive,Astra,8161.139999999999,26,21
P000265,GreenLeaf Move,Home & Kitchen,GreenLeaf,8159.5,50,34
P001696,Astra Woman,Clothing,Astra,8156.72,26,21
P000842,NeoTech Who,Home & Kitchen,NeoTech,8144.700000000001,34,27
P001839,Zenith Few,Sports,Zenith,8131.95,45,28
P000819,Orion Range,Sports,Orion,8116.139999999999,51,35
P000417,Astra Lose,Beauty,Astra,8081.54,37,26
P000139,Harbor Able,Home & Kitchen,Harbor,8054.64,24,20
P000160,Acme Cold,Electronics,Acme,8050.389999999999,31,21
P000629,Willow A,Sports,Willow,7994.82,38,31
P001679,GreenLeaf Wrong,Sports,GreenLeaf,7977.2,37,25
P001680,Willow Full,Automotive,Willow,7963.110000000001,27,20
P001603,NeoTech Week,Sports,NeoTech,7937.3,34,22
P000644,NeoTech Investment,Automotive,NeoTech,7923.6900000000005,27,18
P000019,Acme Live,Automotive,Acme,7905.45,35,24
P001393,Willow Several,Automotive,Willow,7873.75,25,18
P001052,NeoTech Customer,Clothing,NeoTech,7859.6,40,26
P001025,Solace Policy,Sports,Solace,7852.33,29,24
P001712,Zenith Management,Home & Kitchen,Zenith,7814.400000000001,30,22
P001097,Astra Son,Sports,Astra,7807.8,35,26
P000246,Willow Because,Automotive,Willow,7796.88,36,22
P000442,Everest Than,Home & Kitchen,Everest,7780.299999999999,22,16
P000882,Nimbus Somebody,Sports,Nimbus,7763.400000000001,36,23
P001916,GreenLeaf Feel,Home & Kitchen,GreenLeaf,7748.7300000000005,27,21
P000276,Solace Travel,Automotive,Solace,7734.220000000001,26,21
P000666,Harbor By,Electronics,Harbor,7718.34,21,20
P000764,Harbor Much,Sports,Harbor,7692.16,34,26
P000962,Everest May,Clothing,Everest,7690.4800000000005,28,19
P000931,Willow Production,Automotive,Willow,7663.879999999999,28,21
P000655,Astra Strong,Beauty,Astra,7620.209999999999,39,27
P001432,Nimbus Camera,Automotive,Nimbus,7581.64,22,15
P001644,Acme Field,Beauty,Acme,7573.92,48,29
P001548,Solace Life,Automotive,Solace,7555.01,31,18
P000374,Solace The,Sports,Solace,7550.2,20,14
