ORDER_ID,USER_ID,ORDER_STATUS,TOTAL_AMOUNT,ORDER_DATES,ORDER_TIME
O00000099,U006836,completed,256.9,03-06-2025,26:34.2
O00000100,U007744,returned,1583.93,27-01-2025,41:33.9
O00000102,U000795,processing,544.65,12-08-2024,45:05.4
O00000103,U008095,cancelled,226.13,08-11-2024,45:07.1
O00000105,U008882,shipped,164.91,14-08-2024,59:52.6
O00000106,U008953,returned,153.71,12-11-2025,11:17.2
O00000108,U003853,cancelled,973.82,31-07-2025,45:48.7
O00000109,U001398,returned,103.67,22-03-2025,18:42.0
O00000111,U006403,cancelled,126.05,09-01-2024,41:50.2
O00000112,U002203,shipped,1226.59,16-12-2024,01:04.7
O00000113,U001974,cancelled,71.4,30-11-2024,52:58.4
O00000114,U002688,completed,114.08,26-03-2025,33:55.4
O00000115,U007745,cancelled,183.95,28-11-2024,07:51.5
O00000116,U000180,processing,263.98,29-02-2024,18:07.0
O00000117,U001913,returned,22.38,13-11-2024,43:01.8
O00000118,U007481,processing,231.8,26-09-2024,42:37.6
O00000119,U009061,shipped,71.07,25-06-2025,56:53.2
O00000120,U000716,returned,354.29,23-10-2024,33:46.4
O00000121,U001240,shipped,74.93,25-05-2025,08:43.5
O00000122,U005566,processing,292.52,09-03-2024,18:10.7
O00000123,U005052,completed,132.13,24-03-2025,46:09.4
O00000124,U006150,completed,1541.87,14-02-2024,42:51.5
O00000125,U005706,cancelled,1423.47,15-02-2024,08:51.7
O00000126,U002931,processing,840.44,06-02-2025,47:54.4
O00000127,U007738,cancelled,321.85,20-07-2024,02:32.6
O00000128,U000975,shipped,39,09-04-2024,14:12.6
O00000129,U003622,processing,587.55,30-06-2024,50:34.3
O00000130,U004647,processing,390.56,02-03-2024,21:44.8
O00000131,U000130,cancelled,36.54,24-01-2025,34:39.2
O00000132,U002510,returned,183.58,07-08-2024,26:56.0
O00000133,U007445,returned,71.59,07-09-2025,01:22.8
O00000134,U004675,completed,35.22,04-09-2024,21:09.8
O00000135,U002302,shipped,359.64,29-06-2025,37:42.0
O00000136,U001440,cancelled,327.99,08-04-2025,33:39.0
O00000137,U001427,processing,192.38,14-01-2024,42:32.4
O00000138,U006921,cancelled,2154.33,19-02-2024,03:47.9
O00000139,U002993,cancelled,1245.6,11-01-2025,27:26.5
O00000140,U008257,cancelled,122.6,01-10-2024,36:05.2
O00000141,U009725,processing,515.89,23-08-2025,54:22.8
O00000142,U006344,cancelled,781.14,26-10-2024,57:46.0
O00000143,U000022,completed,1097.97,26-09-2024,12:38.8
O00000144,U006302,shipped,71.52,20-01-2024,08:16.9
O00000145,U009282,shipped,271.52,23-01-2024,20:49.4
O00000146,U004487,processing,654.76,16-12-2024,45:18.6
O00000148,U005318,returned,675.09,04-10-2025,24:51.5
O00000149,U006981,completed,373.82,06-06-2025,24:19.3
O00000151,U006960,processing,324.71,27-01-2025,09:36.5
O00000152,U006228,returned,1129.34,26-02-2024,41:04.1
O00000154,U007064,returned,26.49,06-07-2025,48:05.0
O00000155,U000476,completed,142.27,25-02-2025,23:55.1
O00000156,U004571,returned,32.48,08-07-2024,17:05.3
O00000158,U004476,shipped,404.45,25-10-2025,07:57.7
O00000159,U004306,shipped,387.23,29-04-2024,41:32.9
O00000161,U001885,processing,351.66,14-01-2025,24:04.5
O00000162,U003794,completed,4995.83,16-10-2025,33:38.5
O00000164,U006977,returned,415.45,19-02-2025,05:44.8
O00000165,U004253,cancelled,1109.33,20-05-2025,23:25.9
O00000167,U008017,cancelled,96.97,26-11-2024,59:17.3
O00000168,U005863,returned,49.91,27-11-2024,40:23.6
O00000170,U003435,returned,811.41,25-03-2025,57:46.1
O00000171,U001678,returned,31.72,03-02-2024,25:21.3
O00000173,U003834,returned,906.18,30-11-2024,38:25.9
O00000174,U007238,cancelled,1043.9,04-07-2025,36:47.9
O00000176,U009063,completed,566.87,23-01-2024,47:25.8
O00000177,U002797,completed,675.6,18-01-2024,25:02.0
O00000179,U000987,shipped,781.28,06-06-2025,53:08.0
O00000180,U008002,returned,802.3,28-07-2024,42:37.5
O00000181,U006833,completed,38.58,19-06-2024,56:31.4
O00000183,U006690,cancelled,372.58,18-09-2024,38:11.1
O00000184,U001541,shipped,125.02,19-02-2024,26:39.5
O00000186,U004708,completed,29.41,14-09-2025,45:42.3
O00000187,U005772,processing,534.92,02-11-2024,50:08.6
O00000189,U001604,processing,1184.86,14-01-2025,17:03.5
O00000190,U007885,completed,333.28,28-04-2024,06:24.8
O00000192,U009179,shipped,173.94,15-07-2024,29:49.5
O00000193,U006708,processing,1248.13,25-11-2024,18:55.7
O00000195,U001418,shipped,567.18,11-06-2024,39:22.6
O00000196,U008992,returned,35.46,27-04-2025,05:33.8
O00000198,U005404,cancelled,409.49,07-07-2025,14:24.3
O00000199,U004163,processing,897.79,01-03-2024,40:35.8
O00000201,U003830,cancelled,72.87,05-02-2025,56:31.9
O00000202,U003415,cancelled,80.56,12-10-2024,49:38.3
O00000204,U004810,completed,3590.85,11-05-2025,07:02.7
O00000205,U006253,shipped,98.6,21-10-2024,55:16.0
O00000206,U008405,processing,4116.65,21-11-2024,44:30.7
O00000208,U008591,shipped,119.52,01-09-2024,23:10.5
O00000209,U001530,completed,345.35,28-08-2025,34:00.1
O00000211,U006935,processing,124.95,24-10-2025,19:59.3
O00000212,U001613,returned,504.42,23-10-2025,27:57.9
O00000214,U006699,completed,156.98,19-01-2025,28:14.8
O00000215,U008741,shipped,430.41,07-04-2024,54:57.2
O00000217,U000008,returned,1459.03,30-12-2024,16:37.2
O00000218,U000516,cancelled,191.54,01-07-2025,45:16.2
O00000220,U008072,returned,5220.21,28-11-2024,25:41.4
O00000221,U003022,returned,1221.05,09-01-2025,02:41.1
O00000223,U008192,completed,151.5,03-08-2024,38:57.0
O00000224,U006811,completed,160.9,09-11-2025,05:36.3
O00000225,U007753,completed,20.93,28-02-2024,02:18.0
O00000226,U007095,returned,428.1,07-04-2025,43:47.5
O00000227,U002657,cancelled,119.12,02-02-2024,11:34.2
O00000228,U004618,shipped,132.71,25-04-2024,38:32.1
O00000229,U006051,processing,96.44,28-09-2025,05:31.6
O00000230,U003349,shipped,73.31,17-06-2024,45:15.1
O00000231,U006547,returned,369.79,27-04-2025,05:27.8
O00000232,U003029,processing,120.02,18-11-2024,51:17.0
O00000233,U009613,cancelled,370.71,14-09-2025,57:57.4
O00000234,U008714,returned,122.01,22-12-2024,21:09.5
O00000235,U008662,returned,38.82,29-12-2024,52:39.9
O00000236,U000687,processing,5.35,19-03-2024,36:09.7
O00000237,U001094,cancelled,923.63,14-12-2024,24:55.0
O00000238,U009131,completed,17.65,01-03-2024,28:55.4
O00000239,U007463,completed,74.06,10-10-2025,34:49.3
O00000240,U005718,completed,1145.95,31-05-2024,33:38.4
O00000241,U000462,processing,226.31,01-09-2025,33:51.2
O00000242,U002722,completed,446.69,20-04-2024,31:55.1
O00000243,U004073,processing,62.47,26-05-2024,32:52.2
O00000244,U009876,processing,183.45,26-02-2025,05:54.9
O00000245,U003047,processing,92.24,14-11-2025,22:47.7
O00000246,U004293,shipped,89.14,18-05-2024,11:20.7
O00000247,U002631,processing,533.01,09-03-2024,55:55.0
O00000248,U007067,processing,350.41,01-12-2024,11:52.1
O00000249,U002832,completed,346.41,21-06-2025,34:28.9
O00000250,U004102,cancelled,320.01,11-07-2025,17:39.5
O00000251,U008264,cancelled,1766.22,02-11-2025,27:11.7
O00000252,U003348,processing,1073.36,25-08-2024,23:39.7
O00000253,U007023,cancelled,725.28,15-10-2024,56:19.6
O00000254,U003587,returned,266.98,17-09-2024,59:27.3
O00000255,U003862,shipped,1042,22-05-2024,28:39.6
O00000256,U006956,returned,360.78,24-06-2024,55:24.9
O00000257,U002795,cancelled,396.9,28-04-2025,17:54.5
O00000258,U007831,processing,759.4,25-01-2025,52:15.0
O00000260,U003912,processing,83.16,20-06-2024,10:06.8
O00000261,U004977,completed,1144.05,25-04-2025,35:37.0
O00000263,U009534,completed,20.77,12-10-2024,40:35.4
O00000264,U002837,returned,1988.26,06-11-2024,18:56.8
O00000265,U007023,shipped,43.46,25-04-2024,31:19.6
O00000267,U005153,cancelled,509.86,18-05-2024,17:19.3
O00000268,U005394,returned,82,08-08-2025,26:22.9
O00000270,U003564,returned,846.61,12-02-2024,57:55.9
O00000271,U003973,shipped,357.98,02-06-2024,34:54.8
O00000273,U007453,completed,163.08,04-03-2025,21:54.4
O00000274,U003564,shipped,465.6,26-05-2024,25:33.7
O00000276,U002287,cancelled,920.84,03-12-2024,58:17.3
O00000277,U005096,shipped,782.18,27-04-2024,42:33.2
O00000279,U007727,returned,2210.19,01-01-2024,30:33.8
O00000280,U003514,returned,21.18,28-09-2025,56:19.8
O00000282,U000510,returned,2094.36,30-03-2025,02:10.4
O00000283,U005554,shipped,390.19,14-10-2025,06:42.1
O00000285,U000610,completed,258.51,23-01-2025,08:27.6
O00000286,U008461,cancelled,1831.44,09-01-2025,37:15.2
O00000287,U007587,completed,67.27,11-06-2024,58:04.9
O00000289,U009034,returned,3917.14,15-02-2024,42:03.0
O00000290,U002368,returned,199.8,24-02-2024,23:57.2
O00000292,U007310,processing,581.24,18-02-2025,35:31.3
O00000293,U001684,cancelled,252.47,17-10-2024,10:52.4
O00000295,U007518,cancelled,2337.85,01-09-2025,59:40.9
O00000296,U002847,processing,200.12,04-04-2025,00:50.0
O00000298,U009474,completed,346.68,28-02-2024,20:10.9
O00000299,U007773,shipped,101.71,01-02-2025,23:58.6
O00000301,U002528,shipped,1522.12,31-08-2025,26:07.9
O00000302,U003744,cancelled,394.71,08-10-2025,51:41.3
O00000304,U002381,cancelled,445.99,14-03-2024,07:55.2
O00000305,U001432,returned,292.26,05-10-2025,48:30.0
O00000307,U000083,shipped,2204.17,02-06-2025,36:23.1
O00000308,U006604,completed,3.57,03-10-2024,35:54.1
O00000310,U003419,returned,242.47,24-07-2024,29:18.9
O00000311,U003527,returned,1175.69,10-03-2025,59:51.1
O00000312,U003472,shipped,1113.78,16-03-2024,58:47.1
O00000314,U005797,completed,54.83,19-02-2025,11:14.8
O00000315,U001315,shipped,633.59,22-08-2024,28:13.2
O00000317,U003924,cancelled,42.36,05-08-2025,32:10.7
O00000318,U008822,processing,180.25,09-11-2024,10:49.5
O00000320,U001309,completed,438.46,31-05-2024,17:46.0
O00000321,U006255,completed,160.19,22-05-2024,29:56.1
O00000323,U006255,processing,917.02,09-04-2025,25:16.8
O00000324,U007727,returned,104.55,10-01-2025,02:34.3
O00000326,U006017,shipped,543.39,22-04-2024,05:27.2
O00000327,U006341,cancelled,113.45,04-10-2024,23:39.0
O00000329,U008429,cancelled,1594.59,01-10-2024,38:56.4
O00000330,U005772,completed,145.17,24-03-2024,49:15.2
O00000332,U006577,completed,271.18,09-09-2025,35:48.5
O00000333,U001355,cancelled,65,11-07-2024,42:53.0
O00000335,U007872,cancelled,177.48,13-02-2024,41:53.9
O00000336,U002963,cancelled,243.35,23-09-2024,45:03.3
O00000337,U003950,returned,264.65,21-06-2025,12:19.7
O00000338,U007476,completed,377.51,07-01-2024,51:40.6
O00000339,U009267,shipped,26.76,05-08-2025,37:58.1
O00000340,U004737,returned,369.28,02-01-2025,57:18.7
O00000341,U009830,shipped,1539.96,02-05-2024,46:47.2
O00000342,U009497,completed,1656.18,30-04-2025,11:30.6
O00000343,U004252,shipped,25.58,25-04-2024,13:32.1
O00000344,U005422,processing,142.17,28-09-2024,43:29.6
O00000345,U003170,completed,638.51,15-10-2024,45:23.0
O00000346,U004683,processing,741.03,04-09-2025,22:33.2
O00000347,U007253,returned,131.88,19-11-2024,10:25.4
O00000348,U004629,shipped,629.79,14-08-2024,18:39.6
O00000349,U008969,returned,1242.87,07-08-2024,07:24.0
O00000350,U002862,completed,73.64,11-12-2024,26:32.0
O00000351,U009272,processing,121.87,21-06-2025,18:23.8
O00000352,U003130,returned,237.79,05-02-2025,54:37.4
O00000353,U007561,returned,373.43,09-10-2024,34:42.1
O00000354,U006192,completed,97.47,02-01-2024,00:49.7
O00000355,U008572,cancelled,31.43,20-06-2025,12:16.4
O00000356,U000445,cancelled,1407.61,19-05-2025,37:33.8
O00000357,U009579,cancelled,1315.5,20-05-2024,20:41.3
O00000358,U005569,shipped,702.9,24-10-2024,03:50.5
O00000359,U004576,shipped,45.07,04-10-2025,49:00.0
O00000360,U007438,returned,382.77,21-06-2024,25:40.0
O00000361,U007884,completed,654.1,28-05-2024,31:23.2
O00000362,U004400,cancelled,1932.49,06-06-2025,42:40.3
O00000363,U000296,processing,39.34,27-10-2025,44:04.6
O00000364,U002058,returned,30.66,14-05-2025,52:44.6
O00000365,U007974,processing,1714.38,24-04-2024,17:01.0
O00000366,U007551,completed,125.92,11-05-2024,24:57.4
O00000367,U008536,returned,192.22,08-02-2025,08:23.6
O00000368,U006186,shipped,680.04,18-02-2025,25:55.2
O00000369,U003898,returned,338.49,28-09-2025,36:06.0
O00000371,U009900,completed,387.71,28-07-2025,15:31.4
O00000372,U006358,shipped,58.53,09-09-2024,23:20.6
O00000373,U003243,processing,1774.66,30-08-2025,20:12.3
O00000375,U005524,returned,65.31,11-08-2025,52:08.9
O00000376,U006830,shipped,758.64,02-12-2024,22:33.0
O00000378,U001322,cancelled,178.31,13-10-2025,36:45.8
O00000379,U000566,processing,407.14,11-04-2024,46:05.7
O00000381,U000206,returned,1440.77,15-09-2024,36:35.8
O00000382,U007177,cancelled,240.66,24-02-2025,06:28.1
O00000384,U007191,processing,35.56,11-07-2024,27:09.8
O00000385,U003716,cancelled,369.96,17-09-2024,14:30.1
O00000387,U005535,completed,742.73,11-07-2025,57:07.7
O00000388,U002024,processing,282.68,21-08-2024,00:14.2
O00000390,U006881,completed,5.35,17-07-2025,46:24.9
O00000391,U006033,returned,1145.97,17-03-2024,16:43.1
O00000392,U008683,cancelled,361.37,19-02-2025,54:55.2
O00000394,U007144,processing,637.38,04-10-2025,14:50.7
O00000395,U009243,processing,1508.35,25-01-2024,02:26.5
O00000397,U001195,processing,893.72,02-12-2024,29:38.9
O00000398,U003287,completed,415.95,14-06-2025,33:15.9
O00000400,U002183,completed,186.14,20-05-2025,21:50.6
O00000401,U005516,returned,72.72,09-02-2024,28:56.3
O00000403,U000965,completed,271.98,25-03-2025,36:41.1
O00000404,U001743,cancelled,446.24,22-05-2024,42:05.9
O00000406,U005631,returned,338.15,22-02-2024,49:14.3
O00000407,U006627,shipped,167.07,18-01-2024,35:59.4
O00000409,U004553,processing,747.66,23-04-2025,43:27.1
O00000410,U002684,cancelled,1842.85,15-05-2024,23:42.8
O00000412,U007274,completed,2799.7,26-11-2024,01:05.5
O00000413,U002090,returned,100.66,25-03-2025,50:35.4
O00000414,U000267,cancelled,120.4,23-10-2025,44:10.5
O00000416,U005686,returned,831.31,08-04-2024,07:56.4
O00000417,U004032,cancelled,1649.19,04-06-2025,20:16.9
O00000419,U003451,completed,1612.52,10-08-2025,03:14.7
O00000420,U009528,cancelled,260.59,02-05-2024,30:30.0
O00000422,U005524,completed,279.09,22-01-2025,53:38.0
O00000423,U001646,shipped,4528.73,23-10-2025,42:26.4
O00000425,U005354,completed,891.49,23-10-2025,33:51.8
O00000426,U000496,cancelled,76.86,01-04-2025,06:20.4
O00000428,U007743,processing,654.96,02-07-2024,28:21.4
O00000429,U002332,processing,197.07,05-02-2024,35:49.4
O00000431,U009751,returned,95.08,01-04-2024,50:34.2
O00000432,U006937,shipped,214.16,03-09-2024,44:34.8
O00000434,U008366,processing,771.15,01-07-2024,06:48.2
O00000435,U004544,processing,882.32,11-05-2024,10:59.3
O00000436,U006954,processing,97.78,14-07-2024,07:17.3
O00000438,U005632,shipped,152.43,15-07-2025,15:54.4
O00000439,U004476,returned,71.91,19-03-2025,33:24.7
O00000441,U007493,returned,765.03,13-05-2025,51:23.8
O00000442,U009323,processing,353.95,28-09-2025,45:56.0
O00000444,U005171,processing,76.91,05-10-2025,51:43.3
O00000445,U001212,cancelled,119.88,28-09-2024,19:05.9
O00000447,U007100,cancelled,179.27,29-04-2025,29:54.8
O00000448,U006539,processing,658.01,30-10-2025,41:17.0
O00000449,U007270,completed,1507.35,11-11-2024,03:28.6
O00000450,U000088,cancelled,698.06,06-06-2025,18:31.0
O00000451,U006290,shipped,238.47,16-09-2025,39:03.3
O00000452,U001153,shipped,569.37,03-01-2025,59:13.6
O00000453,U005828,returned,570.1,15-01-2024,23:44.0
O00000454,U003805,processing,697.5,02-08-2025,20:36.4
O00000455,U001468,completed,460.66,24-04-2024,26:29.3
O00000456,U006551,shipped,131.77,14-11-2025,05:38.8
O00000457,U008973,returned,372.04,21-08-2025,52:57.8
O00000458,U002802,returned,79.08,25-02-2025,24:05.3
O00000459,U009480,processing,120.32,17-06-2025,42:41.2
O00000460,U009545,completed,74.41,05-10-2024,41:48.3
O00000461,U000292,returned,545.8,27-09-2024,51:53.5
O00000462,U006724,cancelled,250.41,16-09-2024,38:56.4
O00000463,U000707,cancelled,85.29,18-03-2024,50:49.8
O00000464,U004855,completed,1235.7,02-03-2025,52:25.1
O00000465,U001679,processing,930.12,09-11-2025,00:18.7
O00000466,U001181,completed,307.18,16-06-2025,30:27.8
O00000467,U001736,completed,463.05,19-04-2025,04:36.6
O00000468,U004907,completed,562.76,28-10-2024,45:57.2
O00000469,U008966,cancelled,369.8,25-04-2024,37:46.0
O00000470,U004314,completed,1602.7,30-05-2024,06:59.9
O00000471,U001802,processing,141.68,23-04-2024,00:00.6
O00000472,U008860,returned,63.33,29-05-2024,22:03.3
O00000473,U009281,cancelled,195.79,30-12-2024,49:55.1
O00000474,U005682,cancelled,70.28,03-11-2024,22:41.3
O00000475,U005941,completed,1290.86,02-11-2024,18:49.9
O00000476,U004713,returned,115.24,21-10-2025,04:03.0
O00000477,U000908,shipped,148.16,12-11-2025,41:09.4
O00000478,U009741,processing,461.02,07-02-2025,59:55.2
O00000479,U004486,cancelled,953.03,01-03-2025,40:23.6
O00000480,U001941,cancelled,968.67,08-02-2024,39:46.6
O00000482,U000952,cancelled,257.01,15-02-2024,02:05.6
O00000483,U000410,processing,86.86,10-04-2024,14:34.7
O00000485,U005342,completed,45.1,12-08-2024,37:47.5
O00000486,U008797,cancelled,11.71,15-08-2025,12:54.5
O00000488,U008604,returned,747.8,24-01-2025,53:18.1
O00000489,U008490,shipped,3584.82,11-10-2025,59:20.6
O00000491,U006170,shipped,757.22,03-04-2025,15:31.3
O00000492,U003775,shipped,339.91,15-02-2024,01:17.9
O00000493,U007738,completed,918.96,22-09-2024,16:34.7
O00000495,U009689,cancelled,849.35,12-03-2025,39:10.9
O00000496,U008484,completed,30.32,10-05-2025,33:11.8
O00000498,U001990,returned,4068.17,29-12-2024,17:14.1
O00000499,U003836,cancelled,101.29,17-01-2024,33:27.0
O00000501,U003846,cancelled,569.34,05-02-2024,06:49.6
O00000502,U009340,cancelled,130.31,26-06-2025,26:51.7
O00000504,U007866,shipped,241.87,08-03-2025,09:22.2
O00000505,U003344,shipped,22.62,29-04-2025,38:25.0
O00000507,U001202,shipped,878.41,11-08-2024,48:14.4
O00000508,U003933,shipped,842.39,05-05-2024,20:04.1
O00000510,U008319,completed,1842,05-03-2024,08:13.1
O00000511,U001525,returned,3150.71,27-02-2025,20:54.2
O00000513,U003081,processing,26.88,12-05-2024,16:58.2
O00000514,U007574,cancelled,302.68,16-01-2025,34:46.9
O00000515,U001884,processing,250.41,08-03-2024,35:55.4
O00000517,U005325,shipped,1471.73,25-04-2024,02:19.1
O00000518,U007923,shipped,160.06,17-01-2024,09:32.3
O00000520,U008373,shipped,1416.85,22-12-2024,34:41.9
O00000521,U002116,returned,1725.95,20-12-2024,29:08.0
O00000523,U000754,processing,305.12,24-05-2025,40:43.9
O00000524,U002490,shipped,623.56,05-06-2024,51:17.2
O00000526,U002359,cancelled,53.57,12-01-2025,50:40.4
O00000527,U009652,completed,149.76,07-09-2024,28:45.6
O00000529,U007554,shipped,288.28,21-10-2024,04:11.9
O00000530,U002537,returned,833.56,20-12-2024,52:42.4
O00000532,U008702,returned,189.37,24-09-2025,06:16.5
O00000533,U008535,completed,694.93,01-10-2025,21:53.1
O00000535,U004420,cancelled,92.72,03-11-2024,55:08.7
O00000536,U002699,cancelled,428.55,16-02-2025,59:21.8
O00000538,U009184,returned,164.31,16-04-2024,12:55.8
O00000539,U000121,completed,420.25,21-08-2024,18:41.8
O00000540,U008802,completed,391.67,31-01-2024,19:17.7
O00000542,U008014,shipped,24.1,29-09-2025,25:30.1
O00000543,U004650,cancelled,570.67,24-04-2024,13:24.9
O00000545,U002910,shipped,103.9,09-06-2025,45:05.9
O00000546,U007291,cancelled,1833.62,27-10-2025,44:10.1
O00000548,U008981,returned,1501.13,02-08-2024,30:38.5
O00000549,U001936,cancelled,31.94,10-08-2025,16:17.0
O00000551,U009003,returned,1131.3,18-11-2024,03:27.4
O00000552,U000544,returned,64.95,02-07-2024,48:14.6
O00000554,U007560,shipped,498.14,02-08-2025,35:45.4
O00000555,U008758,processing,334.94,09-05-2025,08:45.8
O00000557,U000104,cancelled,1097.64,12-11-2024,34:17.8
O00000558,U002083,processing,2426.82,18-03-2025,26:05.0
O00000560,U001308,shipped,425.58,04-07-2025,04:21.0
O00000561,U009940,shipped,2.48,13-10-2024,51:09.7
O00000562,U006559,cancelled,288.04,08-10-2025,53:43.9
O00000563,U001868,processing,562.78,09-09-2024,38:03.1
O00000564,U000771,processing,3382.41,29-04-2025,09:15.0
O00000565,U003183,returned,1658.65,03-05-2025,31:37.1
O00000566,U000036,cancelled,2117.96,31-08-2025,10:47.3
O00000567,U001619,cancelled,198.15,17-06-2024,12:38.1
O00000568,U009687,processing,600.26,26-01-2024,32:10.4
O00000569,U008042,completed,141.53,01-02-2024,11:28.1
O00000570,U000829,processing,926.42,30-03-2025,26:22.1
O00000571,U009858,cancelled,498.36,12-12-2024,33:46.7
O00000572,U009178,processing,9.74,12-07-2024,07:22.0
O00000573,U005558,processing,646.8,20-01-2024,07:49.0
O00000574,U008363,cancelled,171.81,19-04-2024,28:42.6
O00000575,U005722,shipped,161.07,05-01-2025,31:13.3
O00000576,U002128,cancelled,2.75,22-08-2025,45:33.0
O00000577,U009068,cancelled,232.89,24-05-2024,39:04.7
O00000578,U001675,shipped,148.86,05-08-2024,45:43.2
O00000579,U002556,processing,308.41,31-10-2025,36:35.2
O00000580,U001813,shipped,130.05,29-10-2024,43:21.3
O00000581,U005710,processing,1040.96,03-08-2024,59:53.8
O00000582,U003009,completed,115.63,31-08-2024,41:19.5
O00000583,U003993,shipped,22.53,05-03-2025,36:39.2
O00000584,U006339,completed,1006.86,31-03-2024,16:53.5
O00000585,U000299,returned,1597.2,13-06-2025,29:42.7
O00000586,U003399,cancelled,850.1,27-08-2025,19:58.5
O00000587,U002197,cancelled,352.97,01-10-2024,24:49.2
O00000588,U002165,returned,4251.38,02-04-2025,00:06.7
O00000589,U001164,shipped,275.91,08-01-2025,54:26.0
O00000590,U009060,cancelled,1792.76,15-04-2024,09:08.3
O00000591,U007587,completed,3154.41,13-05-2025,38:24.9
O00000592,U003582,processing,1140.2,16-07-2025,09:21.9
