user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
U000084,87,4,3012.96,4,5,5,455,Champions
U000085,611,1,3003.15,1,1,5,115,Lost
U000086,128,1,30.81,4,1,1,411,Potential
U000087,65,2,578.89,5,2,2,522,Potential
U000088,133,7,2405.88,4,5,5,455,Champions
U000089,0,2,304.79,5,2,2,522,Potential
U000090,52,2,368.3,5,2,2,522,Potential
U000091,551,1,457.74,1,1,2,112,Lost
U000092,2,2,543.08,5,2,2,522,Potential
U000093,495,2,269.51,1,2,1,121,Lost
U000094,587,1,302.05999999999995,1,1,2,112,Lost
U000095,70,2,76.41,4,2,1,421,Potential
U000096,243,3,1258.41,3,4,4,344,Loyal
U000097,340,3,3956.51,2,4,5,245,At Risk
U000098,135,2,739.95,4,2,3,423,Potential
U000099,475,1,22.25,1,1,1,111,Lost
U000101,251,1,307.82,3,1,2,312,Potential
U000102,123,2,336.63,4,2,2,422,Potential
U000103,216,2,475.43,3,2,2,322,Potential
U000104,122,2,1388.8100000000002,4,2,4,424,Potential
U000106,159,2,594.75,3,2,2,322,Potential
U000107,120,4,900.8,4,5,3,453,Loyal
U000108,622,1,15.29,1,1,1,111,Lost
U000111,116,3,2106.75,4,4,4,444,Champions
U000112,307,1,234.41,2,1,1,211,At Risk
U000114,364,2,1278.09,2,2,4,224,At Risk
U000115,264,2,266.44,2,2,1,221,At Risk
U000116,377,2,1445.6000000000001,2,2,4,224,At Risk
U000117,339,3,2378.4300000000003,2,4,5,245,At Risk
U000118,178,2,3541.54,3,2,5,325,Potential
U000119,165,6,6665.53,3,5,5,355,Loyal
U000120,310,3,1164.73,2,4,3,243,At Risk
U000121,20,5,3613.94,5,5,5,555,Champions
U000123,651,1,766.52,1,1,3,113,Lost
U000124,378,1,248.41,2,1,1,211,At Risk
U000125,171,2,1023.19,3,2,3,323,Potential
U000126,256,2,464.61,2,2,2,222,At Risk
U000127,53,6,5147.18,5,5,5,555,Champions
U000128,577,1,150.32,1,1,1,111,Lost
U000130,293,2,266.45,2,2,1,221,At Risk
U000131,74,4,1138.86,4,5,3,453,Loyal
U000132,261,1,222.45,2,1,1,211,At Risk
U000134,145,2,1234.26,4,2,3,423,Potential
U000136,565,3,4246.74,1,4,5,145,Lost
U000137,31,2,1622.9,5,2,4,524,Potential
U000139,143,3,1481.58,4,4,4,444,Champions
U000140,375,1,283.47,2,1,2,212,At Risk
U000141,46,2,239.78,5,2,1,521,Potential
U000142,44,2,1569.4099999999999,5,2,4,524,Potential
U000143,251,1,218.7,3,1,1,311,Potential
U000144,52,1,892.9200000000001,5,1,3,513,Potential
U000145,145,2,1779.4599999999998,4,2,4,424,Potential
U000146,7,3,3263.04,5,4,5,545,Champions
U000147,41,2,798.85,5,2,3,523,Potential
U000149,172,2,344.46000000000004,3,2,2,322,Potential
U000151,374,2,461.2,2,2,2,222,At Risk
U000152,122,1,4.87,4,1,1,411,Potential
U000153,28,3,1908.06,5,4,4,544,Champions
U000154,88,2,1289.05,4,2,4,424,Potential
U000155,468,1,4047.79,1,1,5,115,Lost
U000156,296,1,41.57,2,1,1,211,At Risk
U000157,216,6,5666.25,3,5,5,355,Loyal
U000158,269,2,1680.6999999999998,2,2,4,224,At Risk
U000159,275,7,1771.7,2,5,4,254,At Risk
U000160,232,4,2364.53,3,5,5,355,Loyal
U000161,15,4,1934.21,5,5,4,554,Champions
U000162,244,1,62.52,3,1,1,311,Potential
U000163,58,2,1383.88,5,2,4,524,Potential
U000164,165,1,179.19,3,1,1,311,Potential
U000165,426,2,189.24,1,2,1,121,Lost
U000166,63,3,389.84000000000003,5,4,2,542,Loyal
U000167,546,1,1324.11,1,1,4,114,Lost
U000168,124,6,2113.4399999999996,4,5,4,454,Champions
U000169,250,2,1475.35,3,2,4,324,Potential
U000170,238,3,713.69,3,4,3,343,Loyal
U000171,442,2,1688.8,1,2,4,124,Lost
U000172,78,4,3196.81,4,5,5,455,Champions
U000173,679,1,1352.63,1,1,4,114,Lost
U000174,157,2,996.11,3,2,3,323,Potential
U000175,95,4,3955.13,4,5,5,455,Champions
U000176,331,1,172.07,2,1,1,211,At Risk
U000178,362,2,1702.03,2,2,4,224,At Risk
U000179,333,1,279.52,2,1,2,212,At Risk
U000180,238,6,3617.44,3,5,5,355,Loyal
U000181,33,2,772.4300000000001,5,2,3,523,Potential
U000182,68,2,877.62,4,2,3,423,Potential
U000183,83,4,6193.0,4,5,5,455,Champions
U000185,135,2,2060.9,4,2,4,424,Potential
U000186,102,1,537.2,4,1,2,412,Potential
U000187,259,1,2518.6099999999997,2,1,5,215,At Risk
U000188,66,5,5359.41,5,5,5,555,Champions
U000189,269,2,143.82,2,2,1,221,At Risk
U000190,296,2,534.27,2,2,2,222,At Risk
U000191,206,1,117.09,3,1,1,311,Potential
U000192,17,4,1445.8,5,5,4,554,Champions
U000193,323,2,768.83,2,2,3,223,At Risk
U000195,322,1,97.57,2,1,1,211,At Risk
U000196,265,3,1045.45,2,4,3,243,At Risk
U000197,304,2,1039.92,2,2,3,223,At Risk
U000198,110,1,432.22,4,1,2,412,Potential
U000199,528,2,638.78,1,2,2,122,Lost
U000200,494,1,71.29,1,1,1,111,Lost
U000201,205,3,3444.54,3,4,5,345,Loyal
U000202,139,4,1182.77,4,5,3,453,Loyal
U000203,68,5,832.86,4,5,3,453,Loyal
U000204,39,4,1505.8700000000001,5,5,4,554,Champions
U000205,547,1,1092.48,1,1,3,113,Lost
U000206,407,4,7260.030000000001,2,5,5,255,At Risk
U000207,12,2,2231.87,5,2,4,524,Potential
U000208,223,2,1223.85,3,2,3,323,Potential
U000209,15,3,2717.6,5,4,5,545,Champions
U000210,487,2,2548.2599999999998,1,2,5,125,Lost
U000211,361,1,115.81,2,1,1,211,At Risk
U000212,257,3,852.3100000000001,2,4,3,243,At Risk
U000213,232,2,958.26,3,2,3,323,Potential
U000214,280,2,46.25,2,2,1,221,At Risk
U000215,88,2,1799.8999999999999,4,2,4,424,Potential
U000216,66,3,1317.59,5,4,4,544,Champions
U000217,106,6,5164.23,4,5,5,455,Champions
U000218,38,5,2468.9700000000003,5,5,5,555,Champions
U000219,96,5,754.6800000000001,4,5,3,453,Loyal
U000220,230,3,1541.78,3,4,4,344,Loyal
U000221,366,1,193.38,2,1,1,211,At Risk
U000222,15,3,435.40999999999997,5,4,2,542,Loyal
U000224,583,1,1294.54,1,1,4,114,Lost
U000225,577,1,199.04000000000002,1,1,1,111,Lost
U000227,52,2,409.29,5,2,2,522,Potential
U000228,207,2,2491.5899999999997,3,2,5,325,Potential
U000231,392,3,3833.79,2,4,5,245,At Risk
U000232,8,3,273.96000000000004,5,4,1,541,Loyal
U000233,28,2,2807.88,5,2,5,525,Potential
U000234,78,4,7153.88,4,5,5,455,Champions
U000235,211,2,132.83,3,2,1,321,Potential
U000238,611,1,26.49,1,1,1,111,Lost
U000239,314,1,441.04,2,1,2,212,At Risk
U000242,401,2,1820.0700000000002,2,2,4,224,At Risk
U000244,663,1,414.5,1,1,2,112,Lost
U000245,132,1,3613.4,4,1,5,415,Potential
U000248,326,1,120.22,2,1,1,211,At Risk
U000250,244,3,487.05,3,4,2,342,Loyal
U000251,507,1,451.74,1,1,2,112,Lost
U000253,64,3,1452.66,5,4,4,544,Champions
U000254,57,1,184.85,5,1,1,511,Potential
U000255,146,3,1473.38,4,4,4,444,Champions
U000257,490,2,1583.77,1,2,4,124,Lost
U000259,452,2,1059.73,1,2,3,123,Lost
U000260,569,1,315.42,1,1,2,112,Lost
U000261,140,3,3934.29,4,4,5,445,Champions
U000262,59,4,4977.38,5,5,5,555,Champions
U000263,123,3,2717.74,4,4,5,445,Champions
U000264,22,4,800.31,5,5,3,553,Loyal
U000265,189,1,41.44,3,1,1,311,Potential
U000267,22,2,204.9,5,2,1,521,Potential
U000268,242,1,166.78,3,1,1,311,Potential
U000269,329,2,1156.17,2,2,3,223,At Risk
U000270,315,2,935.6800000000001,2,2,3,223,At Risk
U000271,326,3,395.09,2,4,2,242,At Risk
U000272,34,4,3601.32,5,5,5,555,Champions
U000273,169,3,1912.0700000000002,3,4,4,344,Loyal
U000276,224,3,2504.9,3,4,5,345,Loyal
U000277,148,1,668.24,3,1,2,312,Potential
U000278,609,1,168.63,1,1,1,111,Lost
U000279,464,2,835.86,1,2,3,123,Lost
U000280,220,4,6495.07,3,5,5,355,Loyal
U000282,157,4,677.99,3,5,3,353,Loyal
U000283,191,1,1487.03,3,1,4,314,Potential
U000284,373,3,1119.76,2,4,3,243,At Risk
U000286,291,5,2691.27,2,5,5,255,At Risk
U000287,27,1,249.36,5,1,1,511,Potential
U000288,79,4,1290.54,4,5,4,454,Champions
U000289,68,4,3339.91,4,5,5,455,Champions
U000291,340,3,4352.07,2,4,5,245,At Risk
U000292,44,3,1613.5800000000002,5,4,4,544,Champions
U000293,360,1,29.43,2,1,1,211,At Risk
U000294,374,1,168.1,2,1,1,211,At Risk
U000295,9,4,617.52,5,5,2,552,Loyal
U000296,18,1,39.34,5,1,1,511,Potential
U000297,444,1,63.71,1,1,1,111,Lost
U000299,7,5,2697.58,5,5,5,555,Champions
U000300,242,1,127.6,3,1,1,311,Potential
U000301,216,2,492.39000000000004,3,2,2,322,Potential
U000302,108,2,3096.84,4,2,5,425,Potential
U000303,28,3,166.34,5,4,1,541,Loyal
U000305,614,1,658.24,1,1,2,112,Lost
U000306,143,2,54.480000000000004,4,2,1,421,Potential
U000307,81,2,752.0799999999999,4,2,3,423,Potential
U000309,71,3,1236.0900000000001,4,4,3,443,Loyal
U000310,447,2,374.98,1,2,2,122,Lost
U000311,313,1,118.8,2,1,1,211,At Risk
U000312,159,5,1245.05,3,5,3,353,Loyal
U000313,625,1,55.14,1,1,1,111,Lost
U000314,253,1,74.8,2,1,1,211,At Risk
U000316,147,1,1101.68,3,1,3,313,Potential
U000317,312,2,505.62,2,2,2,222,At Risk
U000318,51,2,2985.6800000000003,5,2,5,525,Potential
U000319,119,3,6877.950000000001,4,4,5,445,Champions
U000320,105,1,256.27,4,1,1,411,Potential
U000321,292,4,1846.8,2,5,4,254,At Risk
U000322,309,5,2153.46,2,5,4,254,At Risk
U000323,304,2,3018.0600000000004,2,2,5,225,At Risk
U000324,499,1,283.07,1,1,2,112,Lost
U000325,314,2,1708.47,2,2,4,224,At Risk
U000326,386,2,1016.73,2,2,3,223,At Risk
U000327,95,2,256.51,4,2,1,421,Potential
U000328,295,3,278.53,2,4,2,242,At Risk
U000329,363,2,663.3499999999999,2,2,2,222,At Risk
U000330,8,2,928.01,5,2,3,523,Potential
U000331,176,4,1485.0600000000002,3,5,4,354,Loyal
U000332,137,3,3225.3999999999996,4,4,5,445,Champions
U000333,142,2,1228.06,4,2,3,423,Potential
U000334,352,1,283.09000000000003,2,1,2,212,At Risk
U000335,347,1,161.06,2,1,1,211,At Risk
U000336,394,4,1860.6,2,5,4,254,At Risk
U000337,187,3,854.1,3,4,3,343,Loyal
U000338,41,2,2885.23,5,2,5,525,Potential
U000339,43,2,348.63,5,2,2,522,Potential
U000340,400,1,266.43,2,1,1,211,At Risk
U000341,590,1,15.22,1,1,1,111,Lost
U000342,317,2,65.69,2,2,1,221,At Risk
U000343,147,2,348.86,3,2,2,322,Potential
U000344,119,3,1332.77,4,4,4,444,Champions
U000345,153,3,3227.86,3,4,5,345,Loyal
U000346,683,1,739.74,1,1,3,113,Lost
U000347,327,3,803.13,2,4,3,243,At Risk
U000348,195,1,2012.94,3,1,4,314,Potential
U000349,160,3,1525.5500000000002,3,4,4,344,Loyal
U000352,70,4,785.4100000000001,4,5,3,453,Loyal
U000353,229,3,1806.46,3,4,4,344,Loyal
U000354,158,2,129.7,3,2,1,321,Potential
U000355,680,1,10.7,1,1,1,111,Lost
U000356,87,2,886.74,4,2,3,423,Potential
U000357,172,2,2238.85,3,2,4,324,Potential
U000358,207,2,187.79,3,2,1,321,Potential
U000360,155,2,375.46,3,2,2,322,Potential
U000361,665,1,11.08,1,1,1,111,Lost
U000362,5,5,2326.39,5,5,5,555,Champions
U000363,38,2,1172.79,5,2,3,523,Potential
U000364,598,2,231.29,1,2,1,121,Lost
U000366,20,2,436.02,5,2,2,522,Potential
U000367,97,2,1111.1,4,2,3,423,Potential
U000368,62,6,2712.54,5,5,5,555,Champions
U000369,14,3,1130.73,5,4,3,543,Loyal
U000371,8,4,492.0,5,5,2,552,Loyal
U000372,164,2,754.0400000000001,3,2,3,323,Potential
U000373,399,2,1345.1000000000001,2,2,4,224,At Risk
U000374,172,3,3470.35,3,4,5,345,Loyal
U000375,309,2,263.06,2,2,1,221,At Risk
U000376,95,1,1355.3700000000001,4,1,4,414,Potential
U000377,168,2,60.489999999999995,3,2,1,321,Potential
U000378,249,3,1944.46,3,4,4,344,Loyal
U000379,10,3,1259.97,5,4,4,544,Champions
U000381,283,1,79.25,2,1,1,211,At Risk
U000382,373,1,521.16,2,1,2,212,At Risk
U000383,300,1,48.09,2,1,1,211,At Risk
U000384,268,5,1500.06,2,5,4,254,At Risk
U000385,660,1,50.2,1,1,1,111,Lost
U000386,4,3,6046.73,5,4,5,545,Champions
U000387,73,3,1963.09,4,4,4,444,Champions
U000388,112,3,278.98999999999995,4,4,2,442,Loyal
U000389,0,3,4296.07,5,4,5,545,Champions
U000390,232,4,1027.25,3,5,3,353,Loyal
U000391,63,5,2745.77,5,5,5,555,Champions
U000392,324,2,1143.9099999999999,2,2,3,223,At Risk
U000393,558,1,1560.6699999999998,1,1,4,114,Lost
U000394,265,3,6867.84,2,4,5,245,At Risk
U000395,232,2,2403.17,3,2,5,325,Potential
U000396,158,2,1710.17,3,2,4,324,Potential
U000397,296,2,117.71000000000001,2,2,1,221,At Risk
U000398,123,2,1711.66,4,2,4,424,Potential
U000399,602,2,4314.48,1,2,5,125,Lost
U000400,355,2,3076.12,2,2,5,225,At Risk
U000401,253,4,1558.05,2,5,4,254,At Risk
U000403,439,2,125.49000000000001,1,2,1,121,Lost
U000404,214,2,208.61,3,2,1,321,Potential
U000405,86,1,1304.17,4,1,4,414,Potential
U000406,618,2,73.92,1,2,1,121,Lost
U000407,355,1,985.28,2,1,3,213,At Risk
U000408,631,1,143.9,1,1,1,111,Lost
U000409,420,2,971.72,1,2,3,123,Lost
U000410,255,3,3284.83,2,4,5,245,At Risk
U000411,207,6,2245.88,3,5,4,354,Loyal
U000412,216,1,508.4,3,1,2,312,Potential
U000413,178,5,1467.17,3,5,4,354,Loyal
U000414,114,2,2022.66,4,2,4,424,Potential
U000415,205,3,2557.91,3,4,5,345,Loyal
U000416,223,6,5400.72,3,5,5,355,Loyal
U000417,123,5,3841.7799999999997,4,5,5,455,Champions
U000418,115,1,2365.6099999999997,4,1,5,415,Potential
U000419,433,1,8.47,1,1,1,111,Lost
U000420,136,2,348.67,4,2,2,422,Potential
U000421,439,1,216.66,1,1,1,111,Lost
U000423,141,1,124.78,4,1,1,411,Potential
U000424,397,1,415.15,2,1,2,212,At Risk
U000425,46,3,2430.53,5,4,5,545,Champions
U000426,5,3,1048.27,5,4,3,543,Loyal
U000427,23,4,1672.5500000000002,5,5,4,554,Champions
U000428,334,1,193.75,2,1,1,211,At Risk
U000429,100,3,1658.09,4,4,4,444,Champions
U000430,80,1,2262.6,4,1,5,415,Potential
U000431,295,2,621.12,2,2,2,222,At Risk
U000432,361,2,1167.36,2,2,3,223,At Risk
U000433,349,3,2241.58,2,4,4,244,At Risk
U000434,61,1,81.54,5,1,1,511,Potential
U000435,139,5,1457.81,4,5,4,454,Champions
U000436,262,3,5479.34,2,4,5,245,At Risk
U000437,126,2,225.03,4,2,1,421,Potential
U000438,554,1,233.7,1,1,1,111,Lost
U000439,294,2,354.66999999999996,2,2,2,222,At Risk
U000441,450,3,1626.6699999999998,1,4,4,144,Lost
U000442,272,2,754.03,2,2,3,223,At Risk
U000444,78,1,967.83,4,1,3,413,Potential
U000445,179,2,1533.04,3,2,4,324,Potential
U000446,477,2,1822.1,1,2,4,124,Lost
U000447,11,1,670.94,5,1,3,513,Potential
U000448,203,1,332.16,3,1,2,312,Potential
U000449,666,1,147.5,1,1,1,111,Lost
U000451,429,1,93.62,1,1,1,111,Lost
U000452,29,3,3226.6,5,4,5,545,Champions
U000453,113,4,2867.02,4,5,5,455,Champions
U000454,329,1,28.6,2,1,1,211,At Risk
U000455,50,2,2153.58,5,2,4,524,Potential
U000456,157,5,4654.51,3,5,5,355,Loyal
U000457,171,2,1716.25,3,2,4,324,Potential
U000458,58,6,5533.080000000001,5,5,5,555,Champions
U000460,241,1,414.82,3,1,2,312,Potential
U000461,500,1,61.2,1,1,1,111,Lost
U000462,74,3,1277.82,4,4,4,444,Champions
U000463,155,3,479.29,3,4,2,342,Loyal
U000464,239,5,1804.59,3,5,4,354,Loyal
U000465,366,1,329.76,2,1,2,212,At Risk
U000466,373,2,1894.39,2,2,4,224,At Risk
U000467,568,1,187.75,1,1,1,111,Lost
U000468,71,2,585.12,4,2,2,422,Potential
U000469,248,1,389.66999999999996,3,1,2,312,Potential
U000470,70,1,2654.98,4,1,5,415,Potential
U000471,226,2,343.57,3,2,2,322,Potential
U000472,283,2,210.64000000000001,2,2,1,221,At Risk
U000473,409,2,2154.47,1,2,4,124,Lost
U000474,482,1,233.7,1,1,1,111,Lost
U000475,225,1,439.64,3,1,2,312,Potential
U000476,262,1,142.27,2,1,1,211,At Risk
U000477,29,1,7.76,5,1,1,511,Potential
U000478,316,1,364.22,2,1,2,212,At Risk
U000479,183,2,951.74,3,2,3,323,Potential
U000480,614,2,100.95,1,2,1,121,Lost
U000481,66,5,6718.03,5,5,5,555,Champions
U000482,84,4,4873.74,4,5,5,455,Champions
U000484,195,4,3434.12,3,5,5,355,Loyal
U000485,459,1,214.12,1,1,1,111,Lost
U000486,297,3,1472.21,2,4,4,244,At Risk
U000487,95,3,650.98,4,4,2,442,Loyal
U000488,140,2,265.07,4,2,1,421,Potential
U000489,286,1,313.89,2,1,2,212,At Risk
U000490,166,3,460.73,3,4,2,342,Loyal
U000491,352,1,39.15,2,1,1,211,At Risk
U000492,2,4,803.32,5,5,3,553,Loyal
U000493,76,3,561.3599999999999,4,4,2,442,Loyal
U000494,219,2,2503.34,3,2,5,325,Potential
U000496,227,4,1417.8600000000001,3,5,4,354,Loyal
U000498,490,1,231.62,1,1,1,111,Lost
U000499,185,2,683.9399999999999,3,2,3,323,Potential
U000500,668,1,449.68,1,1,2,112,Lost
U000503,46,3,130.01,5,4,1,541,Loyal
U000504,222,1,473.37,3,1,2,312,Potential
U000505,665,1,1628.6,1,1,4,114,Lost
U000506,346,1,24.66,2,1,1,211,At Risk
U000507,85,2,950.77,4,2,3,423,Potential
U000508,90,3,1874.1999999999998,4,4,4,444,Champions
U000510,9,5,4310.59,5,5,5,555,Champions
U000511,22,3,3866.15,5,4,5,545,Champions
U000512,364,2,3456.06,2,2,5,225,At Risk
U000513,134,3,1922.62,4,4,4,444,Champions
U000514,24,3,1344.37,5,4,4,544,Champions
U000515,68,3,435.77,4,4,2,442,Loyal
U000516,136,2,202.91,4,2,1,421,Potential
U000517,90,3,1755.95,4,4,4,444,Champions
U000518,245,4,2015.28,3,5,4,354,Loyal
U000519,468,1,2326.46,1,1,5,115,Lost
U000520,664,1,134.71,1,1,1,111,Lost
U000521,496,1,2235.2200000000003,1,1,4,114,Lost
U000522,205,1,143.16,3,1,1,311,Potential
U000524,16,5,6342.0599999999995,5,5,5,555,Champions
U000525,253,2,368.68,2,2,2,222,At Risk
U000526,193,3,432.89,3,4,2,342,Loyal
U000527,262,2,1261.04,2,2,4,224,At Risk
U000528,131,3,3679.79,4,4,5,445,Champions
U000530,366,1,395.46999999999997,2,1,2,212,At Risk
U000531,119,3,4429.13,4,4,5,445,Champions
U000532,105,3,4137.25,4,4,5,445,Champions
U000533,53,4,1143.6599999999999,5,5,3,553,Loyal
U000534,6,1,951.9,5,1,3,513,Potential
U000535,67,5,1409.86,4,5,4,454,Champions
U000536,151,3,770.4599999999999,3,4,3,343,Loyal
U000537,512,1,110.56,1,1,1,111,Lost
U000538,491,1,680.86,1,1,3,113,Lost
U000539,221,2,1147.75,3,2,3,323,Potential
U000540,364,1,205.33,2,1,1,211,At Risk
U000541,226,1,915.67,3,1,3,313,Potential
U000542,186,2,913.19,3,2,3,323,Potential
U000544,436,3,1120.28,1,4,3,143,Lost
U000545,204,4,641.36,3,5,2,352,Loyal
U000546,344,3,7244.51,2,4,5,245,At Risk
U000547,438,1,1092.14,1,1,3,113,Lost
U000548,24,2,1525.54,5,2,4,524,Potential
U000549,598,1,490.17999999999995,1,1,2,112,Lost
U000550,556,1,89.47,1,1,1,111,Lost
U000553,307,3,612.96,2,4,2,242,At Risk
U000555,314,1,52.53,2,1,1,211,At Risk
U000557,369,1,94.59,2,1,1,211,At Risk
U000559,283,1,493.96000000000004,2,1,2,212,At Risk
U000560,471,2,2564.86,1,2,5,125,Lost
U000561,446,1,438.93,1,1,2,112,Lost
U000562,247,1,168.05,3,1,1,311,Potential
U000563,76,2,612.93,4,2,2,422,Potential
U000564,72,7,7888.820000000001,4,5,5,455,Champions
U000565,147,3,314.03,3,4,2,342,Loyal
U000566,582,1,407.14,1,1,2,112,Lost
U000567,62,3,8753.35,5,4,5,545,Champions
U000568,215,4,586.65,3,5,2,352,Loyal
U000569,477,1,1199.6200000000001,1,1,3,113,Lost
U000570,382,5,1365.46,2,5,4,254,At Risk
U000571,282,2,2339.2,2,2,5,225,At Risk
U000572,25,3,840.9499999999999,5,4,3,543,Loyal
U000573,110,5,734.34,4,5,3,453,Loyal
U000574,277,1,18.79,2,1,1,211,At Risk
U000575,382,1,354.81,2,1,2,212,At Risk
U000576,142,1,339.93,4,1,2,412,Potential
U000577,666,1,300.24,1,1,2,112,Lost
U000578,590,1,1894.08,1,1,4,114,Lost
U000581,49,1,449.08000000000004,5,1,2,512,Potential
U000582,121,2,959.3,4,2,3,423,Potential
U000583,425,3,3122.15,1,4,5,145,Lost
U000585,299,1,1283.78,2,1,4,214,At Risk
U000586,313,2,1356.51,2,2,4,224,At Risk
U000588,281,2,635.43,2,2,2,222,At Risk
U000589,382,2,545.98,2,2,2,222,At Risk
U000591,385,2,1191.73,2,2,3,223,At Risk
U000594,10,5,1747.74,5,5,4,554,Champions
U000595,58,3,568.93,5,4,2,542,Loyal
U000596,282,1,236.77,2,1,1,211,At Risk
U000597,41,3,130.13,5,4,1,541,Loyal
U000598,603,1,31.74,1,1,1,111,Lost
U000599,117,2,2666.33,4,2,5,425,Potential
U000600,656,1,3941.36,1,1,5,115,Lost
U000602,565,1,20.41,1,1,1,111,Lost
U000604,258,1,69.1,2,1,1,211,At Risk
U000605,88,3,724.92,4,4,3,443,Loyal
U000606,85,5,2514.73,4,5,5,455,Champions
U000607,136,2,2662.66,4,2,5,425,Potential
U000608,479,3,668.75,1,4,2,142,Lost
U000609,201,1,97.72,3,1,1,311,Potential
U000610,16,5,3730.1,5,5,5,555,Champions
U000611,151,3,3252.53,3,4,5,345,Loyal
U000612,9,3,3977.42,5,4,5,545,Champions
U000613,638,1,37.59,1,1,1,111,Lost
U000614,22,2,1075.1100000000001,5,2,3,523,Potential
U000615,427,1,348.09999999999997,1,1,2,112,Lost
U000616,208,2,2498.48,3,2,5,325,Potential
U000618,14,4,192.32999999999998,5,5,1,551,Loyal
U000619,496,2,269.09999999999997,1,2,1,121,Lost
U000620,4,4,1553.3700000000001,5,5,4,554,Champions
U000621,31,4,463.78,5,5,2,552,Loyal
U000622,136,2,630.0799999999999,4,2,2,422,Potential
U000623,376,3,897.53,2,4,3,243,At Risk
U000624,108,2,81.65,4,2,1,421,Potential
U000625,27,1,101.89999999999999,5,1,1,511,Potential
U000627,50,3,361.71000000000004,5,4,2,542,Loyal
U000628,102,1,996.1800000000001,4,1,3,413,Potential
U000629,518,1,186.51,1,1,1,111,Lost
