CustomerID,Recency,Frequency,Monetary
U000203,289.0,5,832.86
U000204,193.0,4,1505.87
U000205,229.0,1,1092.48
U000206,190.0,4,7260.03
U000207,310.0,2,2231.87
U000208,251.0,2,1223.85
U000209,-303.0,3,2717.6
U000210,308.0,2,2548.26
U000211,43.0,1,115.81
U000212,342.0,3,852.31
U000213,-86.0,2,958.26
U000214,74.0,2,46.25
U000215,-86.0,2,1799.9
U000216,217.0,3,1317.59
U000217,-212.0,6,5164.23
U000218,-273.0,5,2468.97
U000219,306.0,5,754.68
U000220,31.0,3,1541.78
U000221,48.0,1,193.38
U000222,-303.0,3,435.41
U000224,265.0,1,1294.54
U000225,259.0,1,199.04
U000227,-266.0,2,409.29
U000228,69.0,2,2491.59
U000231,189.0,3,3833.79
U000232,-58.0,3,273.96
U000233,-290.0,2,2807.88
U000234,-240.0,4,7153.88
U000235,-107.0,2,132.83
U000238,293.0,1,26.49
U000239,-4.0,1,441.04
U000242,83.0,2,1820.07
U000244,345.0,1,414.5
U000245,-186.0,1,3613.4
U000248,9.0,1,120.22
U000250,187.0,3,487.05
U000251,189.0,1,451.74
U000253,-14.0,3,1452.66
U000254,-261.0,1,184.85
U000255,66.0,3,1473.38
U000257,249.0,2,1583.77
U000259,134.0,2,1059.73
U000260,251.0,1,315.42
U000261,-178.0,3,3934.29
U000262,4.0,4,4977.38
U000263,222.0,3,2717.74
U000264,-296.0,4,800.31
U000265,-129.0,1,41.44
U000267,-296.0,2,204.9
U000268,-76.0,1,166.78
U000269,160.0,2,1156.17
U000270,297.0,2,935.68
U000271,8.0,3,395.09
U000272,-22.0,4,3601.32
U000273,-148.0,3,1912.07
U000276,93.0,3,2504.9
U000277,-170.0,1,668.24
U000278,291.0,1,168.63
U000279,344.0,2,835.86
U000280,193.0,4,6495.07
U000282,186.0,4,677.99
U000283,-127.0,1,1487.03
U000284,155.0,3,1119.76
U000286,216.0,5,2691.27
U000287,-291.0,1,249.36
U000288,-239.0,4,1290.54
U000289,223.0,4,3339.91
U000291,158.0,3,4352.07
U000292,2.0,3,1613.58
U000293,42.0,1,29.43
U000294,56.0,1,168.1
U000295,353.0,4,617.52
U000296,-300.0,1,39.34
U000297,126.0,1,63.71
U000299,-208.0,5,2697.58
U000300,-76.0,1,127.6
U000301,93.0,2,492.39
U000302,-210.0,2,3096.84
U000303,-118.0,3,166.34
U000305,296.0,1,658.24
U000306,-175.0,2,54.48
U000307,-237.0,2,752.08
U000309,-203.0,3,1236.09
U000310,129.0,2,374.98
U000311,-5.0,1,118.8
U000312,44.0,5,1245.05
U000313,307.0,1,55.14
U000314,-65.0,1,74.8
U000316,-171.0,1,1101.68
U000317,8.0,2,505.62
U000318,4.0,2,2985.68
U000319,-84.0,3,6877.95
U000320,-213.0,1,256.27
U000321,276.0,4,1846.8
U000322,245.0,5,2153.46
U000323,-14.0,2,3018.06
U000324,181.0,1,283.07
U000325,319.0,2,1708.47
U000326,245.0,2,1016.73
U000327,-194.0,2,256.51
U000328,-23.0,3,278.53
U000329,343.0,2,663.35
U000330,-110.0,2,928.01
U000331,-142.0,4,1485.06
U000332,-181.0,3,3225.4
U000333,-176.0,2,1228.06
U000334,34.0,1,283.09
U000335,29.0,1,161.06
U000336,307.0,4,1860.6
U000337,168.0,3,854.1
U000338,-81.0,2,2885.23
U000339,77.0,2,348.63
U000340,82.0,1,266.43
U000341,272.0,1,15.22
U000342,14.0,2,65.69
U000343,-171.0,2,348.86
U000344,277.0,3,1332.77
U000345,-136.0,3,3227.86
U000346,365.0,1,739.74
U000347,280.0,3,803.13
U000348,-123.0,1,2012.94
U000349,1.0,3,1525.55
U000352,-110.0,4,785.41
U000353,-89.0,3,1806.46
U000354,-136.0,2,129.7
U000355,362.0,1,10.7
U000356,247.0,2,886.74
U000357,-146.0,2,2238.85
U000358,186.0,2,187.79
U000360,-55.0,2,375.46
U000361,347.0,1,11.08
U000362,-31.0,5,2326.39
U000363,-280.0,2,1172.79
U000364,280.0,2,231.29
U000366,4.0,2,436.02
U000367,-221.0,2,1111.1
U000368,315.0,6,2712.54
U000369,-304.0,3,1130.73
U000371,-211.0,4,492.0
U000372,240.0,2,754.04
U000373,103.0,2,1345.1
U000374,-146.0,3,3470.35
U000375,20.0,2,263.06
U000376,-223.0,1,1355.37
U000377,-150.0,2,60.49
U000378,100.0,3,1944.46
U000379,69.0,3,1259.97
U000381,-35.0,1,79.25
U000382,55.0,1,521.16
U000383,-18.0,1,48.09
U000384,128.0,5,1500.06
U000385,342.0,1,50.2
U000386,62.0,3,6046.73
U000387,-145.0,3,1963.09
U000388,220.0,3,278.99
U000389,155.0,3,4296.07
U000390,-86.0,4,1027.25
U000391,286.0,5,2745.77
U000392,6.0,2,1143.91
U000393,240.0,1,1560.67
U000394,336.0,3,6867.84
U000395,-86.0,2,2403.17
U000396,-160.0,2,1710.17
U000397,342.0,2,117.71
U000398,335.0,2,1711.66
U000399,311.0,2,4314.48
U000400,37.0,2,3076.12
U000401,222.0,4,1558.05
U000403,150.0,2,125.49
U000404,-104.0,2,208.61
U000405,-232.0,1,1304.17
U000406,313.0,2,73.92
U000407,37.0,1,985.28
U000408,313.0,1,143.9
U000409,102.0,2,971.72
U000410,112.0,3,3284.83
U000411,34.0,6,2245.88
U000412,-102.0,1,508.4
U000413,344.0,5,1467.17
U000414,-204.0,2,2022.66
U000415,1.0,3,2557.91
U000416,247.0,6,5400.72
U000417,-119.0,5,3841.78
U000418,-203.0,1,2365.61
U000419,115.0,1,8.47
U000420,-35.0,2,348.67
U000421,121.0,1,216.66
U000423,-177.0,1,124.78
U000424,79.0,1,415.15
U000425,-272.0,3,2430.53
U000426,76.0,3,1048.27
U000427,-295.0,4,1672.55
U000428,16.0,1,193.75
U000429,-26.0,3,1658.09
U000430,-238.0,1,2262.6
U000431,-23.0,2,621.12
U000432,98.0,2,1167.36
U000433,31.0,3,2241.58
U000434,-257.0,1,81.54
U000435,-179.0,5,1457.81
U000436,34.0,3,5479.34
U000437,-192.0,2,225.03
U000438,236.0,1,233.7
U000439,97.0,2,354.67
U000441,132.0,3,1626.67
U000442,-46.0,2,754.03
U000444,-240.0,1,967.83
U000445,-139.0,2,1533.04
U000446,159.0,2,1822.1
U000447,-307.0,1,670.94
U000448,-115.0,1,332.16
U000449,348.0,1,147.5
U000451,111.0,1,93.62
U000452,1.0,3,3226.6
U000453,-205.0,4,2867.02
U000454,11.0,1,28.6
U000455,-268.0,2,2153.58
U000456,314.0,5,4654.51
U000457,-147.0,2,1716.25
U000458,40.0,6,5533.08
U000460,-77.0,1,414.82
U000461,182.0,1,61.2
U000462,-28.0,3,1277.82
U000463,221.0,3,479.29
U000464,101.0,5,1804.59
U000465,48.0,1,329.76
U000466,350.0,2,1894.39
U000467,250.0,1,187.75
U000468,-247.0,2,585.12
U000469,-69.0,1,389.67
U000470,-248.0,1,2654.98
U000471,-78.0,2,343.57
U000472,277.0,2,210.64
U000473,136.0,2,2154.47
U000474,164.0,1,233.7
U000475,-93.0,1,439.64
U000476,-56.0,1,142.27
U000477,-289.0,1,7.76
U000478,-2.0,1,364.22
U000479,-135.0,2,951.74
U000480,315.0,2,100.95
U000481,170.0,5,6718.03
U000482,-116.0,4,4873.74
U000484,337.0,4,3434.12
U000485,141.0,1,214.12
U000486,-21.0,3,1472.21
U000487,-73.0,3,650.98
U000488,-178.0,2,265.07
U000489,-32.0,1,313.89
U000490,224.0,3,460.73
U000491,34.0,1,39.15
U000492,-23.0,4,803.32
U000493,-242.0,3,561.36
U000494,-99.0,2,2503.34
U000496,155.0,4,1417.86
U000498,172.0,1,231.62
U000499,-133.0,2,683.94
U000500,350.0,1,449.68
U000503,-272.0,3,130.01
U000504,-96.0,1,473.37
U000505,347.0,1,1628.6
U000506,28.0,1,24.66
U000507,0.0,2,950.77
U000508,106.0,3,1874.2
U000510,275.0,5,4310.59
U000511,-296.0,3,3866.15
U000512,46.0,2,3456.06
U000513,11.0,3,1922.62
U000514,-294.0,3,1344.37
U000515,278.0,3,435.77
U000516,-85.0,2,202.91
U000517,122.0,3,1755.95
U000518,-73.0,4,2015.28
U000519,150.0,1,2326.46
U000520,346.0,1,134.71
U000521,178.0,1,2235.22
U000522,-113.0,1,143.16
U000524,275.0,5,6342.06
U000525,156.0,2,368.68
U000526,155.0,3,432.89
U000527,6.0,2,1261.04
U000528,188.0,3,3679.79
U000530,48.0,1,395.47
U000531,132.0,3,4429.13
U000532,195.0,3,4137.25
U000533,-240.0,4,1143.66
U000534,-312.0,1,951.9
U000535,-82.0,5,1409.86
U000536,249.0,3,770.46
U000537,194.0,1,110.56
U000538,173.0,1,680.86
U000539,245.0,2,1147.75
U000540,46.0,1,205.33
U000541,-92.0,1,915.67
U000542,-132.0,2,913.19
U000544,250.0,3,1120.28
U000545,-114.0,4,641.36
U000546,76.0,3,7244.51
U000547,120.0,1,1092.14
U000548,-294.0,2,1525.54
U000549,280.0,1,490.18
U000550,238.0,1,89.47
U000553,198.0,3,612.96
U000555,-4.0,1,52.53
U000557,51.0,1,94.59
U000559,-35.0,1,493.96
U000560,153.0,2,2564.86
U000561,128.0,1,438.93
U000562,-71.0,1,168.05
U000563,-242.0,2,612.93
U000564,100.0,7,7888.82
U000565,224.0,3,314.03
U000566,264.0,1,407.14
U000567,-227.0,3,8753.35
U000568,216.0,4,586.65
U000569,159.0,1,1199.62
U000570,153.0,5,1365.46
U000571,38.0,2,2339.2
U000572,-293.0,3,840.95
U000573,-180.0,5,734.34
U000574,-41.0,1,18.79
U000575,64.0,1,354.81
U000576,-175.0,1,339.93
U000577,348.0,1,300.24
U000578,272.0,1,1894.08
U000581,-269.0,1,449.08
U000582,72.0,2,959.3
U000583,153.0,3,3122.15
U000585,-19.0,1,1283.78
U000586,318.0,2,1356.51
U000588,-37.0,2,635.43
U000589,64.0,2,545.98
U000591,67.0,2,1191.73
U000594,185.0,5,1747.74
U000595,335.0,3,568.93
U000596,-35.0,1,236.77
U000597,-170.0,3,130.13
U000598,285.0,1,31.74
U000599,218.0,2,2666.33
U000600,338.0,1,3941.36
U000602,247.0,1,20.41
U000604,-60.0,1,69.1
U000605,-114.0,3,724.92
U000606,215.0,5,2514.73
U000607,39.0,2,2662.66
U000608,161.0,3,668.75
U000609,-117.0,1,97.72
U000610,-302.0,5,3730.1
U000611,310.0,3,3252.53
U000612,11.0,3,3977.42
U000613,320.0,1,37.59
U000614,-296.0,2,1075.11
U000615,109.0,1,348.1
U000616,-90.0,2,2498.48
U000618,-304.0,4,192.33
U000619,178.0,2,269.1
U000620,-25.0,4,1553.37
U000621,191.0,4,463.78
U000622,-136.0,2,630.08
U000623,153.0,3,897.53
U000624,-210.0,2,81.65
U000625,-291.0,1,101.9
U000627,-268.0,3,361.71
U000628,-216.0,1,996.18
U000629,200.0,1,186.51
U000630,287.0,2,961.04
U000631,-241.0,6,4932.2
U000632,28.0,2,226.63
U000633,92.0,2,1799.56
U000634,166.0,3,1384.15
U000636,0.0,3,1325.24
U000637,126.0,1,474.14
U000638,-175.0,5,3292.81
U000639,48.0,1,197.0
U000640,-136.0,3,1188.67
U000641,196.0,1,58.5
U000642,132.0,4,2274.44
U000643,1.0,2,319.24
U000644,301.0,1,61.59
U000645,-54.0,6,2385.64
U000646,323.0,3,854.92
U000647,355.0,1,646.37
U000648,-193.0,1,1197.44
U000649,-14.0,3,3622.77
U000650,224.0,4,911.5
U000651,-67.0,1,27.81
U000652,169.0,1,394.14
U000653,126.0,4,582.07
U000654,56.0,3,1956.54
U000655,140.0,1,454.19
U000656,-30.0,2,490.47
U000657,-165.0,1,130.95
U000658,-166.0,2,725.48
U000659,-267.0,5,2576.19
U000661,-100.0,1,1186.09
U000663,365.0,1,59.15
U000664,-195.0,1,746.45
U000665,8.0,2,407.66
U000666,299.0,2,1357.76
U000667,-46.0,1,1057.09
U000668,-258.0,2,443.4
U000669,3.0,4,3320.19
U000670,274.0,1,775.52
U000671,7.0,4,2325.21
U000672,63.0,1,36.95
U000673,340.0,2,633.5
U000674,359.0,1,345.2
U000675,336.0,3,5909.73
U000676,8.0,3,1008.35
U000677,-295.0,4,1154.95
U000678,219.0,2,1417.25
U000681,-295.0,1,752.88
U000682,-143.0,2,1326.52
U000683,254.0,2,1207.35
U000684,-303.0,10,4232.38
U000685,13.0,3,2181.4
U000687,-142.0,4,1139.07
U000688,-49.0,2,472.7
U000689,178.0,1,38.42
U000690,224.0,1,182.42
U000691,154.0,3,5137.97
U000692,314.0,2,1050.65
U000693,70.0,3,1246.0
U000694,-200.0,2,410.75
U000695,-30.0,3,1437.64
U000696,43.0,1,96.75
U000698,-289.0,3,1441.86
U000699,-101.0,1,293.34
U000700,-257.0,2,29.05
U000701,74.0,2,953.86
U000702,62.0,2,3003.13
U000703,-23.0,2,727.34
U000704,-73.0,4,4290.29
U000705,-289.0,2,402.94
U000706,188.0,2,840.84
U000707,-211.0,5,313.69
U000708,293.0,3,1225.24
U000711,-255.0,1,798.25
U000712,314.0,3,418.06
U000713,188.0,5,1755.86
U000714,-268.0,6,1353.9
U000716,64.0,3,1805.76
U000717,-207.0,4,4414.8
U000718,355.0,2,116.51
U000719,141.0,1,788.84
U000721,265.0,2,1608.61
U000722,-266.0,2,1885.62
U000724,186.0,1,27.24
U000725,-269.0,4,1199.56
U000728,-315.0,2,222.99
U000730,98.0,4,4872.18
U000731,322.0,2,4812.07
U000732,341.0,3,2150.81
U000734,13.0,3,2739.8
U000735,214.0,3,602.67
U000736,187.0,2,1326.05
U000737,141.0,2,5328.28
U000738,301.0,2,2503.28
U000740,319.0,1,254.58
U000741,-300.0,3,777.53
U000742,352.0,2,3033.63
U000743,120.0,1,1251.31
U000744,-170.0,1,332.69
U000745,155.0,4,3516.92
U000746,128.0,2,1334.13
U000747,127.0,4,1256.46
U000749,-148.0,2,1790.43
U000750,133.0,2,825.02
U000751,-150.0,2,515.7
U000752,-112.0,2,220.36
U000753,176.0,1,98.81
U000754,68.0,4,861.12
U000755,93.0,2,72.09
U000756,-307.0,1,577.95
U000757,326.0,1,61.14
U000758,-269.0,3,6313.91
U000759,-155.0,1,1273.88
U000761,-29.0,3,5345.42
U000763,-234.0,2,1790.38
U000765,-210.0,1,268.79
U000766,-80.0,1,22.15
U000767,-69.0,1,20.94
U000768,-281.0,2,1072.2
U000769,-249.0,1,21.2
U000770,230.0,2,1067.56
U000771,-119.0,3,4758.04
U000772,279.0,4,926.95
U000773,144.0,2,2005.09
U000774,-180.0,2,891.31
U000778,-59.0,3,5331.24
U000779,64.0,5,4050.69
U000780,159.0,3,716.47
U000781,4.0,2,912.09
U000782,-304.0,3,1023.1
U000784,-150.0,5,2588.6
U000785,-206.0,3,4009.73
U000786,-122.0,1,48.22
U000787,-162.0,2,362.95
U000788,13.0,4,746.41
U000791,-302.0,1,265.16
U000792,184.0,3,5145.01
U000793,-80.0,3,2401.52
U000794,135.0,2,2667.7
U000795,35.0,6,1389.13
U000796,-205.0,4,1453.83
U000797,169.0,2,777.73
U000798,-273.0,3,1705.1
U000799,-257.0,1,473.62
U000800,-59.0,2,501.26
U000801,-181.0,6,2363.44
U000802,-131.0,2,421.37
U000803,-256.0,2,2893.35
U000804,-212.0,2,1284.38
U000805,-81.0,1,157.67
U000806,338.0,1,503.48
U000807,100.0,1,375.69
U000809,-78.0,1,273.5
U000810,123.0,2,2215.09
U000811,-198.0,3,1041.11
U000813,13.0,1,1366.44
U000814,-201.0,2,498.86
U000815,-86.0,5,2289.64
U000817,-273.0,6,5405.98
U000818,265.0,2,92.41
U000819,309.0,2,235.2
U000820,-19.0,3,1586.86
U000821,-66.0,2,642.54
U000822,-169.0,1,837.26
U000823,-201.0,3,596.82
U000824,257.0,2,1073.85
U000825,-30.0,3,249.04
U000826,-12.0,2,748.44
U000827,245.0,3,3314.39
U000828,185.0,1,131.46
U000829,-89.0,4,6821.26
U000830,-166.0,2,193.22
U000831,134.0,1,734.45
U000832,123.0,3,707.14
U000833,-212.0,3,1221.02
U000834,109.0,2,948.21
U000835,345.0,1,543.8
U000836,194.0,2,782.01
U000837,343.0,5,3717.83
U000838,210.0,1,563.23
U000839,-256.0,1,1224.53
U000840,11.0,2,2281.97
U000841,62.0,4,860.29
U000842,-172.0,3,427.8
U000843,196.0,3,1646.45
U000844,-116.0,3,5311.05
U000845,122.0,4,1120.4
U000846,256.0,4,2340.55
U000847,-125.0,1,388.4
U000848,264.0,2,151.68
U000849,-206.0,1,625.02
U000850,-275.0,1,235.87
U000853,279.0,2,710.5
U000854,132.0,3,1608.84
U000856,-169.0,3,2331.94
U000857,38.0,2,396.69
U000858,36.0,5,326.74
U000860,10.0,2,5903.98
U000861,285.0,2,588.98
U000862,260.0,1,2368.55
U000863,288.0,2,317.77
U000865,287.0,2,509.44
U000866,-21.0,1,939.05
U000867,279.0,3,387.07
U000868,303.0,2,260.15
U000869,363.0,2,1041.12
U000870,-178.0,2,339.07
U000871,-176.0,2,1578.19
U000875,103.0,2,144.52
U000876,225.0,2,738.16
U000877,-76.0,2,2184.62
U000878,185.0,3,890.01
U000879,-149.0,3,611.07
U000880,-17.0,1,1662.21
U000881,169.0,3,2349.65
U000883,280.0,1,126.4
U000884,-207.0,2,947.1
U000886,-300.0,4,3920.16
U000887,-189.0,1,9.0
U000888,278.0,5,3415.24
U000889,-139.0,1,21.1
U000890,214.0,5,2761.66
U000891,323.0,3,619.29
U000892,158.0,3,2784.89
U000894,-165.0,1,110.88
U000895,117.0,1,247.43
U000896,36.0,2,817.43
U000897,287.0,3,3430.91
U000899,162.0,2,346.79
U000901,-33.0,1,517.26
U000902,275.0,3,1039.59
U000904,59.0,1,726.43
U000906,-88.0,4,3509.13
U000907,163.0,2,811.96
U000908,-316.0,2,224.75
U000909,194.0,4,1563.97
U000911,-38.0,2,1260.81
U000912,-88.0,3,1736.39
U000914,102.0,2,32.68
U000916,111.0,1,418.78
U000917,230.0,1,48.09
U000918,-28.0,3,1432.94
U000919,55.0,2,1627.66
U000920,23.0,1,1583.67
U000921,-281.0,2,97.87
U000922,100.0,3,5260.31
U000923,341.0,3,3559.42
U000924,-238.0,2,4453.5
U000925,-130.0,2,644.68
U000926,-201.0,3,949.76
U000927,-174.0,4,2918.78
U000928,-86.0,4,1571.62
U000929,0.0,3,866.34
U000930,-204.0,1,1680.95
U000931,-90.0,3,990.27
U000932,-302.0,3,4339.16
U000933,22.0,1,165.59
U000934,184.0,1,1278.82
U000935,244.0,1,22.55
U000936,-177.0,2,274.93
U000937,111.0,1,628.86
U000938,16.0,1,361.8
U000939,357.0,1,111.79
U000940,-264.0,2,1526.92
U000941,-6.0,1,2520.03
U000943,272.0,2,1566.85
U000944,-283.0,1,1463.86
U000946,-214.0,1,968.31
U000948,163.0,1,145.92
U000949,247.0,2,541.8
U000950,-66.0,1,41.51
U000952,130.0,4,681.45
U000953,308.0,3,2321.56
U000954,98.0,1,71.52
U000955,-273.0,6,1445.48
U000957,250.0,3,2205.13
U000958,250.0,1,84.66
U000959,1.0,4,1659.72
U000961,-293.0,3,1621.31
U000962,357.0,2,1005.98
U000963,-290.0,1,4.68
U000964,-304.0,2,3843.68
U000965,-84.0,5,1449.17
U000966,96.0,2,849.25
U000967,39.0,2,21.09
U000968,-170.0,3,3573.7
U000969,227.0,1,1539.42
U000971,233.0,3,1668.0
U000972,141.0,1,89.98
U000973,-220.0,2,1014.79
U000974,67.0,2,230.38
U000975,309.0,5,1525.64
U000976,288.0,1,71.15
U000977,190.0,2,73.48
U000978,-232.0,4,1371.05
U000979,-215.0,1,229.47
U000980,290.0,1,419.12
U000981,-41.0,3,436.93
U000982,169.0,2,2484.44
U000983,130.0,3,1001.93
U000984,-79.0,1,92.24
U000985,308.0,5,1704.66
U000986,202.0,1,2035.42
U000987,-157.0,2,2061.14
U000988,195.0,1,1032.53
U000989,276.0,3,61.96
U000990,-185.0,1,165.61
U000991,111.0,2,1329.76
U000992,156.0,2,2730.62
U000993,309.0,2,3440.96
U000994,141.0,2,1176.25
U000995,136.0,1,134.99
U000997,187.0,1,494.94
U000998,158.0,5,5396.3
U000999,283.0,3,5217.08
U001000,-63.0,1,1610.3
U001001,-109.0,1,358.99
U001002,284.0,2,595.81
U001003,-142.0,2,2809.77
U001004,10.0,1,1965.44
U001005,-142.0,1,37.23
U001006,50.0,3,2060.39
U001007,351.0,1,359.28
U001008,251.0,3,3739.09
U001009,273.0,1,254.74
U001010,9.0,2,85.14
U001011,298.0,2,3136.41
U001014,-53.0,2,993.53
U001015,-186.0,1,138.24
U001016,-164.0,3,1792.21
U001017,-242.0,2,2818.01
U001018,162.0,4,2243.46
U001019,-82.0,1,234.11
U001020,-80.0,1,3039.41
U001021,158.0,5,2192.66
U001022,265.0,1,324.65
U001023,-48.0,2,460.63
U001024,83.0,2,482.41
U001025,-184.0,1,3660.22
U001026,-205.0,2,1651.44
U001028,184.0,5,3737.59
U001029,-144.0,3,2202.3
U001030,59.0,1,251.36
U001031,-85.0,2,616.55
U001032,-146.0,2,1680.87
U001033,-211.0,1,953.19
U001035,-206.0,2,142.9
U001036,124.0,4,1679.13
U001038,160.0,1,21.18
U001039,-63.0,1,905.69
U001040,34.0,4,2122.69
U001041,-85.0,5,3430.43
U001042,-86.0,2,622.96
U001043,219.0,4,3561.22
U001044,124.0,2,2056.89
U001045,-23.0,2,176.51
U001046,-243.0,4,4298.49
U001047,64.0,2,367.57
U001048,215.0,4,709.47
U001049,-276.0,1,612.23
U001050,129.0,3,557.99
U001051,-34.0,1,99.88
U001052,246.0,7,2724.34
U001053,-238.0,4,578.08
U001054,36.0,6,1130.07
U001055,-266.0,3,7046.69
U001056,279.0,2,2222.56
U001057,221.0,3,302.25
U001058,249.0,2,232.85
U001059,-78.0,2,935.83
U001060,-29.0,3,1164.87
U001061,-164.0,2,1558.69
U001063,336.0,2,3117.37
U001064,-255.0,3,167.76
U001065,-231.0,1,545.45
U001066,154.0,4,1184.57
U001067,250.0,5,3811.56
U001068,226.0,2,2002.15
U001069,316.0,2,2837.15
U001070,-237.0,1,142.58
U001071,-48.0,4,1046.31
U001072,277.0,2,607.56
U001074,138.0,2,569.19
U001075,248.0,3,2488.01
U001076,279.0,1,281.73
U001077,-58.0,3,2404.75
U001078,79.0,2,539.5
U001079,-207.0,1,222.67
U001080,-89.0,7,3357.38
U001081,-30.0,5,6325.81
U001082,183.0,1,3144.71
U001083,-200.0,3,2125.78
