CustomerID,OrderID,OrderDate,Amount
U001740,O00000067,06-04-2024,197.83
U005875,O00000068,10-02-2024,403.18
U004383,O00000070,28-08-2024,2118.73
U008449,O00000071,26-05-2025,222.12
U007276,O00000072,13-03-2024,586.48
U001053,O00000074,10-10-2024,52.93
U003631,O00000075,14-04-2025,420.44
U005127,O00000077,31-12-2024,1836.0
U005863,O00000078,31-03-2025,186.4
U007964,O00000080,12-05-2025,383.26
U000280,O00000081,19-04-2024,777.99
U004873,O00000083,10-10-2024,25.52
U004193,O00000084,29-05-2025,77.27
U004906,O00000086,14-04-2025,281.05
U002432,O00000087,07-10-2025,168.44
U004756,O00000089,15-06-2025,751.36
U003655,O00000090,13-09-2025,57.1
U001781,O00000092,05-11-2025,253.86
U002932,O00000093,13-04-2024,95.4
U008738,O00000094,02-05-2025,14.99
U002173,O00000096,28-07-2024,178.96
U002710,O00000097,29-11-2024,100.3
U006836,O00000099,03-06-2025,256.9
U007744,O00000100,27-01-2025,1583.93
U000795,O00000102,12-08-2024,544.65
U008095,O00000103,08-11-2024,226.13
U008882,O00000105,14-08-2024,164.91
U008953,O00000106,12-11-2025,153.71
U003853,O00000108,31-07-2025,973.82
U001398,O00000109,22-03-2025,103.67
U006403,O00000111,09-01-2024,126.05
U002203,O00000112,16-12-2024,1226.59
U001974,O00000113,30-11-2024,71.4
U002688,O00000114,26-03-2025,114.08
U007745,O00000115,28-11-2024,183.95
U000180,O00000116,29-02-2024,263.98
U001913,O00000117,13-11-2024,22.38
U007481,O00000118,26-09-2024,231.8
U009061,O00000119,25-06-2025,71.07
U000716,O00000120,23-10-2024,354.29
U001240,O00000121,25-05-2025,74.93
U005566,O00000122,09-03-2024,292.52
U005052,O00000123,24-03-2025,132.13
U006150,O00000124,14-02-2024,1541.87
U005706,O00000125,15-02-2024,1423.47
U002931,O00000126,06-02-2025,840.44
U007738,O00000127,20-07-2024,321.85
U000975,O00000128,09-04-2024,39.0
U003622,O00000129,30-06-2024,587.55
U004647,O00000130,02-03-2024,390.56
U000130,O00000131,24-01-2025,36.54
U002510,O00000132,07-08-2024,183.58
U007445,O00000133,07-09-2025,71.59
U004675,O00000134,04-09-2024,35.22
U002302,O00000135,29-06-2025,359.64
U001440,O00000136,08-04-2025,327.99
U001427,O00000137,14-01-2024,192.38
U006921,O00000138,19-02-2024,2154.33
U002993,O00000139,11-01-2025,1245.6
U008257,O00000140,01-10-2024,122.6
U009725,O00000141,23-08-2025,515.89
U006344,O00000142,26-10-2024,781.14
U000022,O00000143,26-09-2024,1097.97
U006302,O00000144,20-01-2024,71.52
U009282,O00000145,23-01-2024,271.52
U004487,O00000146,16-12-2024,654.76
U005318,O00000148,04-10-2025,675.09
U006981,O00000149,06-06-2025,373.82
U006960,O00000151,27-01-2025,324.71
U006228,O00000152,26-02-2024,1129.34
U007064,O00000154,06-07-2025,26.49
U000476,O00000155,25-02-2025,142.27
U004571,O00000156,08-07-2024,32.48
U004476,O00000158,25-10-2025,404.45
U004306,O00000159,29-04-2024,387.23
U001885,O00000161,14-01-2025,351.66
U003794,O00000162,16-10-2025,4995.83
U006977,O00000164,19-02-2025,415.45
U004253,O00000165,20-05-2025,1109.33
U008017,O00000167,26-11-2024,96.97
U005863,O00000168,27-11-2024,49.91
U003435,O00000170,25-03-2025,811.41
U001678,O00000171,03-02-2024,31.72
U003834,O00000173,30-11-2024,906.18
U007238,O00000174,04-07-2025,1043.9
U009063,O00000176,23-01-2024,566.87
U002797,O00000177,18-01-2024,675.6
U000987,O00000179,06-06-2025,781.28
U008002,O00000180,28-07-2024,802.3
U006833,O00000181,19-06-2024,38.58
U006690,O00000183,18-09-2024,372.58
U001541,O00000184,19-02-2024,125.02
U004708,O00000186,14-09-2025,29.41
U005772,O00000187,02-11-2024,534.92
U001604,O00000189,14-01-2025,1184.86
U007885,O00000190,28-04-2024,333.28
U009179,O00000192,15-07-2024,173.94
U006708,O00000193,25-11-2024,1248.13
U001418,O00000195,11-06-2024,567.18
U008992,O00000196,27-04-2025,35.46
U005404,O00000198,07-07-2025,409.49
U004163,O00000199,01-03-2024,897.79
U003830,O00000201,05-02-2025,72.87
U003415,O00000202,12-10-2024,80.56
U004810,O00000204,11-05-2025,3590.85
U006253,O00000205,21-10-2024,98.6
U008405,O00000206,21-11-2024,4116.65
U008591,O00000208,01-09-2024,119.52
U001530,O00000209,28-08-2025,345.35
U006935,O00000211,24-10-2025,124.95
U001613,O00000212,23-10-2025,504.42
U006699,O00000214,19-01-2025,156.98
U008741,O00000215,07-04-2024,430.41
U000008,O00000217,30-12-2024,1459.03
U000516,O00000218,01-07-2025,191.54
U008072,O00000220,28-11-2024,5220.21
U003022,O00000221,09-01-2025,1221.05
U008192,O00000223,03-08-2024,151.5
U006811,O00000224,09-11-2025,160.9
U007753,O00000225,28-02-2024,20.93
U007095,O00000226,07-04-2025,428.1
U002657,O00000227,02-02-2024,119.12
U004618,O00000228,25-04-2024,132.71
U006051,O00000229,28-09-2025,96.44
U003349,O00000230,17-06-2024,73.31
U006547,O00000231,27-04-2025,369.79
U003029,O00000232,18-11-2024,120.02
U009613,O00000233,14-09-2025,370.71
U008714,O00000234,22-12-2024,122.01
U008662,O00000235,29-12-2024,38.82
U000687,O00000236,19-03-2024,5.35
U001094,O00000237,14-12-2024,923.63
U009131,O00000238,01-03-2024,17.65
U007463,O00000239,10-10-2025,74.06
U005718,O00000240,31-05-2024,1145.95
U000462,O00000241,01-09-2025,226.31
U002722,O00000242,20-04-2024,446.69
U004073,O00000243,26-05-2024,62.47
U009876,O00000244,26-02-2025,183.45
U003047,O00000245,14-11-2025,92.24
U004293,O00000246,18-05-2024,89.14
U002631,O00000247,09-03-2024,533.01
U007067,O00000248,01-12-2024,350.41
U002832,O00000249,21-06-2025,346.41
U004102,O00000250,11-07-2025,320.01
U008264,O00000251,02-11-2025,1766.22
U003348,O00000252,25-08-2024,1073.36
U007023,O00000253,15-10-2024,725.28
U003587,O00000254,17-09-2024,266.98
U003862,O00000255,22-05-2024,1042.0
U006956,O00000256,24-06-2024,360.78
U002795,O00000257,28-04-2025,396.9
U007831,O00000258,25-01-2025,759.4
U003912,O00000260,20-06-2024,83.16
U004977,O00000261,25-04-2025,1144.05
U009534,O00000263,12-10-2024,20.77
U002837,O00000264,06-11-2024,1988.26
U007023,O00000265,25-04-2024,43.46
U005153,O00000267,18-05-2024,509.86
U005394,O00000268,08-08-2025,82.0
U003564,O00000270,12-02-2024,846.61
U003973,O00000271,02-06-2024,357.98
U007453,O00000273,04-03-2025,163.08
U003564,O00000274,26-05-2024,465.6
U002287,O00000276,03-12-2024,920.84
U005096,O00000277,27-04-2024,782.18
U007727,O00000279,01-01-2024,2210.19
U003514,O00000280,28-09-2025,21.18
U000510,O00000282,30-03-2025,2094.36
U005554,O00000283,14-10-2025,390.19
U000610,O00000285,23-01-2025,258.51
U008461,O00000286,09-01-2025,1831.44
U007587,O00000287,11-06-2024,67.27
U009034,O00000289,15-02-2024,3917.14
U002368,O00000290,24-02-2024,199.8
U007310,O00000292,18-02-2025,581.24
U001684,O00000293,17-10-2024,252.47
U007518,O00000295,01-09-2025,2337.85
U002847,O00000296,04-04-2025,200.12
U009474,O00000298,28-02-2024,346.68
U007773,O00000299,01-02-2025,101.71
U002528,O00000301,31-08-2025,1522.12
U003744,O00000302,08-10-2025,394.71
U002381,O00000304,14-03-2024,445.99
U001432,O00000305,05-10-2025,292.26
U000083,O00000307,02-06-2025,2204.17
U006604,O00000308,03-10-2024,3.57
U003419,O00000310,24-07-2024,242.47
U003527,O00000311,10-03-2025,1175.69
U003472,O00000312,16-03-2024,1113.78
U005797,O00000314,19-02-2025,54.83
U001315,O00000315,22-08-2024,633.59
U003924,O00000317,05-08-2025,42.36
U008822,O00000318,09-11-2024,180.25
U001309,O00000320,31-05-2024,438.46
U006255,O00000321,22-05-2024,160.19
U006255,O00000323,09-04-2025,917.02
U007727,O00000324,10-01-2025,104.55
U006017,O00000326,22-04-2024,543.39
U006341,O00000327,04-10-2024,113.45
U008429,O00000329,01-10-2024,1594.59
U005772,O00000330,24-03-2024,145.17
U006577,O00000332,09-09-2025,271.18
U001355,O00000333,11-07-2024,65.0
U007872,O00000335,13-02-2024,177.48
U002963,O00000336,23-09-2024,243.35
U003950,O00000337,21-06-2025,264.65
U007476,O00000338,07-01-2024,377.51
U009267,O00000339,05-08-2025,26.76
U004737,O00000340,02-01-2025,369.28
U009830,O00000341,02-05-2024,1539.96
U009497,O00000342,30-04-2025,1656.18
U004252,O00000343,25-04-2024,25.58
U005422,O00000344,28-09-2024,142.17
U003170,O00000345,15-10-2024,638.51
U004683,O00000346,04-09-2025,741.03
U007253,O00000347,19-11-2024,131.88
U004629,O00000348,14-08-2024,629.79
U008969,O00000349,07-08-2024,1242.87
U002862,O00000350,11-12-2024,73.64
U009272,O00000351,21-06-2025,121.87
U003130,O00000352,05-02-2025,237.79
U007561,O00000353,09-10-2024,373.43
U006192,O00000354,02-01-2024,97.47
U008572,O00000355,20-06-2025,31.43
U000445,O00000356,19-05-2025,1407.61
U009579,O00000357,20-05-2024,1315.5
U005569,O00000358,24-10-2024,702.9
U004576,O00000359,04-10-2025,45.07
U007438,O00000360,21-06-2024,382.77
U007884,O00000361,28-05-2024,654.1
U004400,O00000362,06-06-2025,1932.49
U000296,O00000363,27-10-2025,39.34
U002058,O00000364,14-05-2025,30.66
U007974,O00000365,24-04-2024,1714.38
U007551,O00000366,11-05-2024,125.92
U008536,O00000367,08-02-2025,192.22
U006186,O00000368,18-02-2025,680.04
U003898,O00000369,28-09-2025,338.49
U009900,O00000371,28-07-2025,387.71
U006358,O00000372,09-09-2024,58.53
U003243,O00000373,30-08-2025,1774.66
U005524,O00000375,11-08-2025,65.31
U006830,O00000376,02-12-2024,758.64
U001322,O00000378,13-10-2025,178.31
U000566,O00000379,11-04-2024,407.14
U000206,O00000381,15-09-2024,1440.77
U007177,O00000382,24-02-2025,240.66
U007191,O00000384,11-07-2024,35.56
U003716,O00000385,17-09-2024,369.96
U005535,O00000387,11-07-2025,742.73
U002024,O00000388,21-08-2024,282.68
U006881,O00000390,17-07-2025,5.35
U006033,O00000391,17-03-2024,1145.97
U008683,O00000392,19-02-2025,361.37
U007144,O00000394,04-10-2025,637.38
U009243,O00000395,25-01-2024,1508.35
U001195,O00000397,02-12-2024,893.72
U003287,O00000398,14-06-2025,415.95
U002183,O00000400,20-05-2025,186.14
U005516,O00000401,09-02-2024,72.72
U000965,O00000403,25-03-2025,271.98
U001743,O00000404,22-05-2024,446.24
U005631,O00000406,22-02-2024,338.15
U006627,O00000407,18-01-2024,167.07
U004553,O00000409,23-04-2025,747.66
U002684,O00000410,15-05-2024,1842.85
U007274,O00000412,26-11-2024,2799.7
U002090,O00000413,25-03-2025,100.66
U000267,O00000414,23-10-2025,120.4
U005686,O00000416,08-04-2024,831.31
U004032,O00000417,04-06-2025,1649.19
U003451,O00000419,10-08-2025,1612.52
U009528,O00000420,02-05-2024,260.59
U005524,O00000422,22-01-2025,279.09
U001646,O00000423,23-10-2025,4528.73
U005354,O00000425,23-10-2025,891.49
U000496,O00000426,01-04-2025,76.86
U007743,O00000428,02-07-2024,654.96
U002332,O00000429,05-02-2024,197.07
U009751,O00000431,01-04-2024,95.08
U006937,O00000432,03-09-2024,214.16
U008366,O00000434,01-07-2024,771.15
U004544,O00000435,11-05-2024,882.32
U006954,O00000436,14-07-2024,97.78
U005632,O00000438,15-07-2025,152.43
U004476,O00000439,19-03-2025,71.91
U007493,O00000441,13-05-2025,765.03
U009323,O00000442,28-09-2025,353.95
U005171,O00000444,05-10-2025,76.91
U001212,O00000445,28-09-2024,119.88
U007100,O00000447,29-04-2025,179.27
U006539,O00000448,30-10-2025,658.01
U007270,O00000449,11-11-2024,1507.35
U000088,O00000450,06-06-2025,698.06
U006290,O00000451,16-09-2025,238.47
U001153,O00000452,03-01-2025,569.37
U005828,O00000453,15-01-2024,570.1
U003805,O00000454,02-08-2025,697.5
U001468,O00000455,24-04-2024,460.66
U006551,O00000456,14-11-2025,131.77
U008973,O00000457,21-08-2025,372.04
U002802,O00000458,25-02-2025,79.08
U009480,O00000459,17-06-2025,120.32
U009545,O00000460,05-10-2024,74.41
U000292,O00000461,27-09-2024,545.8
U006724,O00000462,16-09-2024,250.41
U000707,O00000463,18-03-2024,85.29
U004855,O00000464,02-03-2025,1235.7
U001679,O00000465,09-11-2025,930.12
U001181,O00000466,16-06-2025,307.18
U001736,O00000467,19-04-2025,463.05
U004907,O00000468,28-10-2024,562.76
U008966,O00000469,25-04-2024,369.8
U004314,O00000470,30-05-2024,1602.7
U001802,O00000471,23-04-2024,141.68
U008860,O00000472,29-05-2024,63.33
U009281,O00000473,30-12-2024,195.79
U005682,O00000474,03-11-2024,70.28
U005941,O00000475,02-11-2024,1290.86
U004713,O00000476,21-10-2025,115.24
U000908,O00000477,12-11-2025,148.16
U009741,O00000478,07-02-2025,461.02
U004486,O00000479,01-03-2025,953.03
U001941,O00000480,08-02-2024,968.67
U000952,O00000482,15-02-2024,257.01
U000410,O00000483,10-04-2024,86.86
U005342,O00000485,12-08-2024,45.1
U008797,O00000486,15-08-2025,11.71
U008604,O00000488,24-01-2025,747.8
U008490,O00000489,11-10-2025,3584.82
U006170,O00000491,03-04-2025,757.22
U003775,O00000492,15-02-2024,339.91
U007738,O00000493,22-09-2024,918.96
U009689,O00000495,12-03-2025,849.35
U008484,O00000496,10-05-2025,30.32
U001990,O00000498,29-12-2024,4068.17
U003836,O00000499,17-01-2024,101.29
U003846,O00000501,05-02-2024,569.34
U009340,O00000502,26-06-2025,130.31
U007866,O00000504,08-03-2025,241.87
U003344,O00000505,29-04-2025,22.62
U001202,O00000507,11-08-2024,878.41
U003933,O00000508,05-05-2024,842.39
U008319,O00000510,05-03-2024,1842.0
U001525,O00000511,27-02-2025,3150.71
U003081,O00000513,12-05-2024,26.88
U007574,O00000514,16-01-2025,302.68
U001884,O00000515,08-03-2024,250.41
U005325,O00000517,25-04-2024,1471.73
U007923,O00000518,17-01-2024,160.06
U008373,O00000520,22-12-2024,1416.85
U002116,O00000521,20-12-2024,1725.95
U000754,O00000523,24-05-2025,305.12
U002490,O00000524,05-06-2024,623.56
U002359,O00000526,12-01-2025,53.57
U009652,O00000527,07-09-2024,149.76
U007554,O00000529,21-10-2024,288.28
U002537,O00000530,20-12-2024,833.56
U008702,O00000532,24-09-2025,189.37
U008535,O00000533,01-10-2025,694.93
U004420,O00000535,03-11-2024,92.72
U002699,O00000536,16-02-2025,428.55
U009184,O00000538,16-04-2024,164.31
U000121,O00000539,21-08-2024,420.25
U008802,O00000540,31-01-2024,391.67
U008014,O00000542,29-09-2025,24.1
U004650,O00000543,24-04-2024,570.67
U002910,O00000545,09-06-2025,103.9
U007291,O00000546,27-10-2025,1833.62
U008981,O00000548,02-08-2024,1501.13
U001936,O00000549,10-08-2025,31.94
U009003,O00000551,18-11-2024,1131.3
U000544,O00000552,02-07-2024,64.95
U007560,O00000554,02-08-2025,498.14
U008758,O00000555,09-05-2025,334.94
U000104,O00000557,12-11-2024,1097.64
U002083,O00000558,18-03-2025,2426.82
U001308,O00000560,04-07-2025,425.58
U009940,O00000561,13-10-2024,2.48
U006559,O00000562,08-10-2025,288.04
U001868,O00000563,09-09-2024,562.78
U000771,O00000564,29-04-2025,3382.41
U003183,O00000565,03-05-2025,1658.65
U000036,O00000566,31-08-2025,2117.96
U001619,O00000567,17-06-2024,198.15
U009687,O00000568,26-01-2024,600.26
U008042,O00000569,01-02-2024,141.53
U000829,O00000570,30-03-2025,926.42
U009858,O00000571,12-12-2024,498.36
U009178,O00000572,12-07-2024,9.74
U005558,O00000573,20-01-2024,646.8
U008363,O00000574,19-04-2024,171.81
U005722,O00000575,05-01-2025,161.07
U002128,O00000576,22-08-2025,2.75
U009068,O00000577,24-05-2024,232.89
U001675,O00000578,05-08-2024,148.86
U002556,O00000579,31-10-2025,308.41
U001813,O00000580,29-10-2024,130.05
U005710,O00000581,03-08-2024,1040.96
U003009,O00000582,31-08-2024,115.63
U003993,O00000583,05-03-2025,22.53
U006339,O00000584,31-03-2024,1006.86
U000299,O00000585,13-06-2025,1597.2
U003399,O00000586,27-08-2025,850.1
U002197,O00000587,01-10-2024,352.97
U002165,O00000588,02-04-2025,4251.38
U001164,O00000589,08-01-2025,275.91
U009060,O00000590,15-04-2024,1792.76
U007587,O00000591,13-05-2025,3154.41
U003582,O00000592,16-07-2025,1140.2
U004356,O00000593,04-09-2024,110.71
U003433,O00000594,20-04-2024,1957.91
U007239,O00000596,28-02-2024,1013.96
U000500,O00000597,16-01-2024,449.68
U009289,O00000599,24-01-2024,1599.98
U008826,O00000600,04-06-2025,362.24
U008353,O00000601,28-09-2024,662.92
U009527,O00000603,06-06-2025,235.08
U001570,O00000604,21-06-2024,244.44
U007121,O00000606,20-05-2024,260.01
U008430,O00000607,26-03-2025,531.53
U007850,O00000609,02-04-2025,67.51
U004407,O00000610,25-01-2024,696.07
U008652,O00000612,10-04-2024,1431.75
U006524,O00000613,21-08-2025,56.08
U000801,O00000615,30-06-2025,83.51
U001076,O00000616,27-03-2024,281.73
U009283,O00000618,07-01-2025,103.22
U000397,O00000619,24-01-2024,21.15
U007594,O00000620,12-07-2024,1576.92
U000309,O00000622,03-09-2025,92.99
U006723,O00000623,30-03-2025,1892.21
U001010,O00000625,15-09-2025,43.7
U001359,O00000626,05-01-2025,3555.56
U000153,O00000628,10-03-2024,782.61
U002175,O00000629,12-08-2025,278.38
U008628,O00000631,28-09-2024,20.54
U008268,O00000632,18-09-2024,3031.33
U003809,O00000634,01-05-2025,578.55
U002432,O00000635,12-05-2024,133.58
U004635,O00000637,27-09-2025,218.32
U006414,O00000638,09-09-2024,722.97
U008567,O00000640,09-08-2024,664.55
U001191,O00000641,23-06-2024,52.53
U005384,O00000643,14-11-2025,1177.5
U001626,O00000644,26-02-2024,64.12
U007981,O00000646,19-06-2025,649.96
U009485,O00000647,09-09-2024,1149.67
U004372,O00000648,28-07-2024,279.09
U002065,O00000650,06-04-2024,43.39
U007971,O00000651,18-03-2024,813.64
U007928,O00000653,07-04-2024,274.2
U000745,O00000654,29-07-2024,39.0
U002931,O00000656,26-08-2025,306.66
U006980,O00000657,17-05-2024,491.06
U000272,O00000659,22-01-2025,634.95
U006778,O00000660,21-03-2025,407.66
U003813,O00000662,11-02-2024,117.72
U009177,O00000663,02-03-2024,1636.01
U006546,O00000665,25-03-2024,25.73
U009213,O00000666,23-10-2024,29.94
U007311,O00000668,27-09-2024,1554.14
U003718,O00000669,03-08-2024,3395.7
U001455,O00000671,17-02-2025,77.84
U002630,O00000672,07-12-2024,1656.88
U000730,O00000673,11-10-2025,496.36
U006504,O00000674,17-05-2025,3296.56
U000323,O00000675,14-01-2025,3007.35
U008828,O00000676,22-11-2024,358.32
U005112,O00000677,18-05-2025,651.99
U009632,O00000678,21-03-2025,829.8
U008919,O00000679,27-08-2024,377.71
U005814,O00000680,03-09-2024,82.69
U007066,O00000681,07-01-2024,725.63
U004291,O00000682,08-07-2024,24.37
U003520,O00000683,02-09-2025,1217.83
U002419,O00000684,12-02-2025,70.44
U006534,O00000685,17-08-2025,764.69
U005702,O00000686,16-09-2024,951.8
U009867,O00000687,22-10-2024,1203.46
U004942,O00000688,21-02-2025,369.77
U003399,O00000689,27-01-2024,29.53
U005136,O00000690,28-10-2025,1052.0
U000992,O00000691,28-07-2024,1262.1
U003305,O00000692,04-01-2024,19.55
U004761,O00000693,17-09-2024,1211.15
U006903,O00000694,14-09-2024,9.98
U001735,O00000695,05-05-2024,69.46
U007447,O00000696,19-06-2024,33.0
U006515,O00000697,08-10-2025,205.58
U007854,O00000698,27-03-2024,644.03
U004677,O00000699,18-05-2025,261.9
U000374,O00000700,04-11-2024,200.12
U007554,O00000701,18-03-2024,199.98
U004882,O00000702,21-03-2024,2389.58
U009414,O00000703,10-05-2025,68.0
U009746,O00000704,11-05-2024,128.44
U007438,O00000705,16-02-2025,160.0
U000533,O00000707,28-08-2025,87.46
U008339,O00000708,27-05-2025,64.23
U006722,O00000710,05-03-2025,2415.68
U007971,O00000711,01-10-2025,286.31
U003144,O00000713,19-09-2025,761.04
U004762,O00000714,02-05-2025,81.52
U002453,O00000715,23-05-2025,1354.3
U007270,O00000717,03-01-2024,95.81
U006167,O00000718,21-02-2025,228.19
U006219,O00000720,05-03-2025,5.84
U003880,O00000721,24-03-2024,83.14
U007891,O00000723,25-08-2025,58.15
U002679,O00000724,18-10-2024,126.87
U005614,O00000726,05-05-2025,455.43
U002477,O00000727,09-02-2025,76.59
U001878,O00000729,26-02-2024,56.21
U004063,O00000730,22-01-2025,26.06
U000038,O00000732,17-05-2024,2840.22
U002635,O00000733,23-12-2024,322.3
U005485,O00000735,01-04-2024,68.12
U009368,O00000736,14-11-2025,99.26
U002942,O00000738,07-02-2024,198.0
U007956,O00000739,06-04-2024,72.45
U004443,O00000740,08-03-2024,223.52
U004627,O00000742,03-10-2025,680.24
U006770,O00000743,15-01-2024,351.35
U009562,O00000745,10-09-2025,400.74
U005025,O00000746,17-07-2025,495.76
U004852,O00000748,10-07-2025,833.8
U003848,O00000749,28-05-2024,2862.02
U007798,O00000751,20-04-2025,106.99
U005702,O00000752,04-11-2025,1946.03
U006386,O00000754,10-11-2024,376.65
U009418,O00000755,15-07-2024,168.05
U002852,O00000757,07-11-2025,562.07
U002527,O00000758,04-12-2024,266.88
U007015,O00000760,02-01-2024,1326.43
U002209,O00000761,13-08-2025,207.98
U005358,O00000762,29-04-2025,535.01
U006613,O00000764,23-11-2024,941.03
U002884,O00000765,09-11-2024,232.61
U006880,O00000767,04-04-2025,140.86
U009004,O00000768,07-08-2024,45.55
U006096,O00000770,08-10-2024,10.62
U008051,O00000771,10-09-2024,530.56
U009778,O00000773,08-09-2025,453.4
U000451,O00000774,11-09-2024,93.62
U001309,O00000776,17-06-2024,170.77
U002342,O00000777,14-09-2025,2689.64
U009890,O00000779,16-04-2025,1002.26
U007373,O00000780,13-10-2025,14.7
U004642,O00000782,12-05-2024,411.43
U001481,O00000783,09-06-2025,41.75
U003041,O00000784,03-04-2025,21.46
U002504,O00000786,28-05-2025,165.21
U002255,O00000787,25-07-2024,26.49
U006555,O00000788,03-11-2025,653.76
U004485,O00000789,10-10-2025,132.37
U004194,O00000790,26-05-2024,658.35
U001036,O00000791,01-12-2024,1269.3
U001228,O00000792,10-01-2025,326.9
U000563,O00000793,10-11-2024,438.46
U002451,O00000794,04-07-2025,437.22
U004679,O00000795,16-02-2024,196.4
U002110,O00000796,07-03-2025,2.99
U009678,O00000797,28-02-2025,324.3
U006985,O00000798,30-09-2024,557.49
U001658,O00000799,13-08-2024,421.81
U006128,O00000800,26-03-2025,186.72
U000965,O00000801,07-06-2024,777.62
U005827,O00000802,25-02-2024,881.82
U006069,O00000803,21-06-2025,69.5
U006487,O00000804,20-01-2025,1292.61
U007357,O00000805,16-05-2025,135.88
U006185,O00000806,05-09-2024,53.16
U009377,O00000807,09-03-2024,696.42
U009564,O00000808,26-10-2024,1115.68
U004891,O00000809,10-04-2024,304.08
U000536,O00000810,26-04-2024,311.21
U008366,O00000811,16-01-2025,83.76
U006087,O00000812,21-09-2024,1428.63
U005330,O00000813,22-10-2025,984.19
U000218,O00000814,20-08-2024,1197.06
U006975,O00000815,20-02-2024,48.2
U005222,O00000816,06-03-2024,443.67
U009931,O00000817,08-10-2024,59.97
U005180,O00000818,01-03-2024,2024.67
U006319,O00000819,14-03-2025,342.78
U008264,O00000820,21-04-2025,2651.71
U003301,O00000821,11-02-2024,739.24
U009782,O00000823,24-09-2024,291.13
U003271,O00000824,09-05-2024,122.51
U002374,O00000826,27-03-2024,570.66
U007763,O00000827,24-06-2025,50.3
U000513,O00000829,18-09-2024,766.76
U006403,O00000830,02-11-2025,405.41
U005221,O00000832,08-02-2025,532.74
U001460,O00000833,03-10-2025,85.2
U005191,O00000835,24-04-2024,536.33
U008425,O00000836,17-11-2024,358.71
U007518,O00000838,28-11-2024,198.37
U006831,O00000839,17-07-2025,126.24
U003130,O00000841,22-03-2025,56.03
U001417,O00000842,28-08-2025,467.48
U002322,O00000844,12-05-2024,687.51
U002033,O00000845,09-04-2024,20.93
U001402,O00000847,02-03-2024,640.32
U009941,O00000848,19-08-2024,49.84
U003815,O00000849,18-04-2024,76.4
U006826,O00000851,17-10-2025,20.41
U004677,O00000852,14-09-2024,1639.09
U009786,O00000854,26-01-2024,231.79
U004723,O00000855,13-04-2025,36.92
U009149,O00000857,07-04-2024,497.67
U008200,O00000858,27-12-2024,2202.0
U001470,O00000860,11-05-2024,14.09
U000642,O00000861,04-01-2025,713.32
U003924,O00000863,22-04-2024,169.72
U003330,O00000864,10-12-2024,47.07
U001670,O00000866,30-04-2025,541.92
U004937,O00000867,24-06-2025,1237.89
U002392,O00000869,09-03-2024,238.08
U005752,O00000870,18-05-2024,1286.28
U007754,O00000871,26-10-2025,175.08
U000705,O00000873,16-10-2025,274.66
U006038,O00000874,21-10-2024,29.9
U001321,O00000876,12-04-2025,537.66
U001379,O00000877,12-12-2024,26.27
U005207,O00000879,28-07-2024,951.69
U001224,O00000880,14-09-2025,32.13
U007080,O00000882,27-04-2025,455.3
U008014,O00000883,16-09-2024,24.2
U006785,O00000885,10-01-2025,215.78
U009818,O00000886,12-02-2025,554.72
U008093,O00000888,27-10-2024,15.26
U005529,O00000889,01-08-2024,951.12
U003517,O00000891,07-01-2025,339.4
